heuristics,C,policy,iterations,seed,nun_games,type_system,sts_size,domain, max_alg, min_alg ,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games
1,0.5,1,10000,0,100,2,1000,0,BFB,UCT,100,43,0,0.561404,0.438596,32
1,0.5,1,10000,0,100,2,100,0,BFB,UCT,100,27,0,0.589041,0.410959,43
1,0.5,1,10000,0,100,2,500,0,BFB,UCT,100,44,0,0.607143,0.392857,34
1,0.5,1,10000,0,100,2,700,0,BFB,UCT,100,38,0,0.725806,0.274194,45
1,0.5,1,1000,0,100,2,1000,0,BFB,UCT,100,39,0,0.57377,0.42623,35
1,0.5,1,1000,0,100,2,100,0,BFB,UCT,100,45,0,0.8,0.2,44
1,0.5,1,1000,0,100,2,5000,0,BFB,UCT,100,34,0,0.515152,0.484848,34
1,0.5,1,1000,0,100,2,500,0,BFB,UCT,100,33,0,0.791045,0.208955,53
1,0.5,1,1000,0,100,2,700,0,BFB,UCT,100,36,0,0.625,0.375,40
1,0.5,1,5000,0,100,2,1000,0,BFB,UCT,100,45,0,0.563636,0.436364,31
1,0.5,1,5000,0,100,2,100,0,BFB,UCT,100,36,0,0.609375,0.390625,39
1,0.5,1,5000,0,100,2,5000,0,BFB,UCT,100,43,0,0.578947,0.421053,33
1,0.5,1,5000,0,100,2,500,0,BFB,UCT,100,39,0,0.688525,0.311475,42
1,0.5,1,5000,0,100,2,700,0,BFB,UCT,100,44,0,0.553571,0.446429,31
1,0.5,2,10000,0,100,2,1000,0,BFB,UCT,100,43,0,0.842105,0.157895,48
1,0.5,2,10000,0,100,2,100,0,BFB,UCT,100,40,0,0.633333,0.366667,38
1,0.5,2,10000,0,100,2,500,0,BFB,UCT,100,46,0,0.759259,0.240741,41
1,0.5,2,10000,0,100,2,700,0,BFB,UCT,100,41,0,0.576271,0.423729,34
1,0.5,2,1000,0,100,2,1000,0,BFB,UCT,100,42,0,0.586207,0.413793,34
1,0.5,2,1000,0,100,2,100,0,BFB,UCT,100,44,0,0.803571,0.196429,45
1,0.5,2,1000,0,100,2,5000,0,BFB,UCT,100,34,0,0.515152,0.484848,34
1,0.5,2,1000,0,100,2,500,0,BFB,UCT,100,33,0,0.746269,0.253731,50
1,0.5,2,1000,0,100,2,700,0,BFB,UCT,100,41,0,0.661017,0.338983,39
1,0.5,2,5000,0,100,2,1000,0,BFB,UCT,100,47,0,0.603774,0.396226,32
1,0.5,2,5000,0,100,2,100,0,BFB,UCT,100,49,0,0.686275,0.313726,35
1,0.5,2,5000,0,100,2,5000,0,BFB,UCT,100,43,0,0.368421,0.631579,21
1,0.5,2,5000,0,100,2,500,0,BFB,UCT,100,44,0,0.732143,0.267857,41
1,0.5,2,5000,0,100,2,700,0,BFB,UCT,100,32,0,0.676471,0.323529,46
1,0.5,3,10000,0,100,2,1000,0,BFB,UCT,100,40,0,0.5,0.5,30
1,0.5,3,10000,0,100,2,100,0,BFB,UCT,100,41,0,0.644068,0.355932,38
1,0.5,3,10000,0,100,2,500,0,BFB,UCT,100,40,0,0.666667,0.333333,40
1,0.5,3,10000,0,100,2,700,0,BFB,UCT,100,41,0,0.610169,0.38983,36
1,0.5,3,1000,0,100,2,1000,0,BFB,UCT,100,40,0,0.633333,0.366667,38
1,0.5,3,1000,0,100,2,100,0,BFB,UCT,100,40,0,0.633333,0.366667,38
1,0.5,3,1000,0,100,2,5000,0,BFB,UCT,100,34,0,0.515152,0.484848,34
1,0.5,3,1000,0,100,2,500,0,BFB,UCT,100,43,0,0.596491,0.403509,34
1,0.5,3,1000,0,100,2,700,0,BFB,UCT,100,42,0,0.637931,0.362069,37
1,0.5,3,5000,0,100,2,1000,0,BFB,UCT,100,39,0,0.672131,0.327869,41
1,0.5,3,5000,0,100,2,100,0,BFB,UCT,100,39,0,0.590164,0.409836,36
1,0.5,3,5000,0,100,2,5000,0,BFB,UCT,100,49,0,0.509804,0.490196,26
1,0.5,3,5000,0,100,2,500,0,BFB,UCT,100,33,0,0.626866,0.373134,42
1,0.5,3,5000,0,100,2,700,0,BFB,UCT,100,46,0,0.648148,0.351852,35
1,2.5,1,10000,0,100,2,1000,0,BFB,UCT,100,39,0,0.606557,0.393443,37
1,2.5,1,10000,0,100,2,100,0,BFB,UCT,100,56,0,0.659091,0.340909,29
1,2.5,1,10000,0,100,2,500,0,BFB,UCT,100,51,0,0.693878,0.306122,34
1,2.5,1,10000,0,100,2,700,0,BFB,UCT,100,55,0,0.511111,0.488889,23
1,2.5,1,1000,0,100,2,1000,0,BFB,UCT,100,50,0,0.54,0.46,27
1,2.5,1,1000,0,100,2,100,0,BFB,UCT,100,49,0,0.745098,0.254902,38
1,2.5,1,1000,0,100,2,5000,0,BFB,UCT,100,52,0,0.479167,0.520833,23
1,2.5,1,1000,0,100,2,500,0,BFB,UCT,100,44,0,0.696429,0.303571,39
1,2.5,1,1000,0,100,2,700,0,BFB,UCT,100,50,0,0.8,0.2,40
1,2.5,1,5000,0,100,2,1000,0,BFB,UCT,100,42,0,0.775862,0.224138,45
1,2.5,1,5000,0,100,2,100,0,BFB,UCT,100,50,0,0.66,0.34,33
1,2.5,1,5000,0,100,2,5000,0,BFB,UCT,100,45,0,0.545455,0.454545,30
1,2.5,1,5000,0,100,2,500,0,BFB,UCT,100,55,0,0.711111,0.288889,32
1,2.5,1,5000,0,100,2,700,0,BFB,UCT,100,41,0,0.677966,0.322034,40
1,2.5,2,10000,0,100,2,1000,0,BFB,UCT,100,47,0,0.566038,0.433962,30
1,2.5,2,10000,0,100,2,100,0,BFB,UCT,100,37,0,0.650794,0.349206,41
1,2.5,2,10000,0,100,2,500,0,BFB,UCT,100,50,0,0.64,0.36,32
1,2.5,2,10000,0,100,2,700,0,BFB,UCT,100,59,0,0.682927,0.317073,28
1,2.5,2,1000,0,100,2,1000,0,BFB,UCT,100,57,0,0.697674,0.302326,30
1,2.5,2,1000,0,100,2,100,0,BFB,UCT,100,53,0,0.808511,0.191489,38
1,2.5,2,1000,0,100,2,5000,0,BFB,UCT,100,52,0,0.479167,0.520833,23
1,2.5,2,1000,0,100,2,500,0,BFB,UCT,100,59,0,0.804878,0.195122,33
1,2.5,2,1000,0,100,2,700,0,BFB,UCT,100,44,0,0.714286,0.285714,40
1,2.5,2,5000,0,100,2,1000,0,BFB,UCT,100,53,0,0.765957,0.234043,36
1,2.5,2,5000,0,100,2,100,0,BFB,UCT,100,45,0,0.581818,0.418182,32
1,2.5,2,5000,0,100,2,5000,0,BFB,UCT,100,44,0,0.446429,0.553571,25
1,2.5,2,5000,0,100,2,500,0,BFB,UCT,100,52,0,0.708333,0.291667,34
1,2.5,2,5000,0,100,2,700,0,BFB,UCT,100,47,0,0.754717,0.245283,40
1,2.5,3,10000,0,100,2,1000,0,BFB,UCT,100,49,0,0.803922,0.196078,41
1,2.5,3,10000,0,100,2,100,0,BFB,UCT,100,43,0,0.807018,0.192982,46
1,2.5,3,10000,0,100,2,500,0,BFB,UCT,100,50,0,0.78,0.22,39
1,2.5,3,10000,0,100,2,700,0,BFB,UCT,100,46,0,0.814815,0.185185,44
1,2.5,3,1000,0,100,2,1000,0,BFB,UCT,100,48,0,0.596154,0.403846,31
1,2.5,3,1000,0,100,2,100,0,BFB,UCT,100,50,0,0.82,0.18,41
1,2.5,3,1000,0,100,2,5000,0,BFB,UCT,100,52,0,0.479167,0.520833,23
1,2.5,3,1000,0,100,2,500,0,BFB,UCT,100,47,0,0.754717,0.245283,40
1,2.5,3,1000,0,100,2,700,0,BFB,UCT,100,56,0,0.613636,0.386364,27
1,2.5,3,5000,0,100,2,1000,0,BFB,UCT,100,46,0,0.62963,0.37037,34
1,2.5,3,5000,0,100,2,100,0,BFB,UCT,100,47,0,0.811321,0.188679,43
1,2.5,3,5000,0,100,2,5000,0,BFB,UCT,100,45,0,0.509091,0.490909,28
1,2.5,3,5000,0,100,2,500,0,BFB,UCT,100,48,0,0.692308,0.307692,36
1,2.5,3,5000,0,100,2,700,0,BFB,UCT,100,46,0,0.796296,0.203704,43
2,0.5,1,10000,0,100,2,1000,0,BFB,UCT,100,43,0,0.561404,0.438596,32
2,0.5,1,10000,0,100,2,100,0,BFB,UCT,100,27,0,0.589041,0.410959,43
2,0.5,1,10000,0,100,2,500,0,BFB,UCT,100,44,0,0.607143,0.392857,34
2,0.5,1,10000,0,100,2,700,0,BFB,UCT,100,38,0,0.725806,0.274194,45
2,0.5,1,1000,0,100,2,1000,0,BFB,UCT,100,39,0,0.57377,0.42623,35
2,0.5,1,1000,0,100,2,100,0,BFB,UCT,100,45,0,0.8,0.2,44
2,0.5,1,1000,0,100,2,5000,0,BFB,UCT,100,34,0,0.515152,0.484848,34
2,0.5,1,1000,0,100,2,500,0,BFB,UCT,100,33,0,0.791045,0.208955,53
2,0.5,1,1000,0,100,2,700,0,BFB,UCT,100,36,0,0.625,0.375,40
2,0.5,1,5000,0,100,2,1000,0,BFB,UCT,100,45,0,0.563636,0.436364,31
2,0.5,1,5000,0,100,2,100,0,BFB,UCT,100,36,0,0.609375,0.390625,39
2,0.5,1,5000,0,100,2,5000,0,BFB,UCT,100,43,0,0.578947,0.421053,33
2,0.5,1,5000,0,100,2,500,0,BFB,UCT,100,39,0,0.688525,0.311475,42
2,0.5,1,5000,0,100,2,700,0,BFB,UCT,100,44,0,0.553571,0.446429,31
2,0.5,2,10000,0,100,2,1000,0,BFB,UCT,100,43,0,0.842105,0.157895,48
2,0.5,2,10000,0,100,2,100,0,BFB,UCT,100,40,0,0.633333,0.366667,38
2,0.5,2,10000,0,100,2,500,0,BFB,UCT,100,46,0,0.759259,0.240741,41
2,0.5,2,10000,0,100,2,700,0,BFB,UCT,100,41,0,0.576271,0.423729,34
2,0.5,2,1000,0,100,2,1000,0,BFB,UCT,100,42,0,0.586207,0.413793,34
2,0.5,2,1000,0,100,2,100,0,BFB,UCT,100,44,0,0.803571,0.196429,45
2,0.5,2,1000,0,100,2,5000,0,BFB,UCT,100,34,0,0.515152,0.484848,34
2,0.5,2,1000,0,100,2,500,0,BFB,UCT,100,33,0,0.746269,0.253731,50
2,0.5,2,1000,0,100,2,700,0,BFB,UCT,100,41,0,0.661017,0.338983,39
2,0.5,2,5000,0,100,2,1000,0,BFB,UCT,100,47,0,0.603774,0.396226,32
2,0.5,2,5000,0,100,2,100,0,BFB,UCT,100,49,0,0.686275,0.313726,35
2,0.5,2,5000,0,100,2,5000,0,BFB,UCT,100,43,0,0.368421,0.631579,21
2,0.5,2,5000,0,100,2,500,0,BFB,UCT,100,44,0,0.732143,0.267857,41
2,0.5,2,5000,0,100,2,700,0,BFB,UCT,100,32,0,0.676471,0.323529,46
2,0.5,3,10000,0,100,2,1000,0,BFB,UCT,100,40,0,0.5,0.5,30
2,0.5,3,10000,0,100,2,100,0,BFB,UCT,100,41,0,0.644068,0.355932,38
2,0.5,3,10000,0,100,2,500,0,BFB,UCT,100,40,0,0.666667,0.333333,40
2,0.5,3,10000,0,100,2,700,0,BFB,UCT,100,41,0,0.610169,0.38983,36
2,0.5,3,1000,0,100,2,1000,0,BFB,UCT,100,40,0,0.633333,0.366667,38
2,0.5,3,1000,0,100,2,100,0,BFB,UCT,100,40,0,0.633333,0.366667,38
2,0.5,3,1000,0,100,2,5000,0,BFB,UCT,100,34,0,0.515152,0.484848,34
2,0.5,3,1000,0,100,2,500,0,BFB,UCT,100,43,0,0.596491,0.403509,34
2,0.5,3,1000,0,100,2,700,0,BFB,UCT,100,42,0,0.637931,0.362069,37
2,0.5,3,5000,0,100,2,1000,0,BFB,UCT,100,39,0,0.672131,0.327869,41
2,0.5,3,5000,0,100,2,100,0,BFB,UCT,100,39,0,0.590164,0.409836,36
2,0.5,3,5000,0,100,2,5000,0,BFB,UCT,100,49,0,0.509804,0.490196,26
2,0.5,3,5000,0,100,2,500,0,BFB,UCT,100,33,0,0.626866,0.373134,42
2,0.5,3,5000,0,100,2,700,0,BFB,UCT,100,46,0,0.648148,0.351852,35
2,2.5,1,10000,0,100,2,1000,0,BFB,UCT,100,39,0,0.606557,0.393443,37
2,2.5,1,10000,0,100,2,100,0,BFB,UCT,100,56,0,0.659091,0.340909,29
2,2.5,1,10000,0,100,2,500,0,BFB,UCT,100,51,0,0.693878,0.306122,34
2,2.5,1,10000,0,100,2,700,0,BFB,UCT,100,55,0,0.511111,0.488889,23
2,2.5,1,1000,0,100,2,1000,0,BFB,UCT,100,50,0,0.54,0.46,27
2,2.5,1,1000,0,100,2,100,0,BFB,UCT,100,49,0,0.745098,0.254902,38
2,2.5,1,1000,0,100,2,5000,0,BFB,UCT,100,52,0,0.479167,0.520833,23
2,2.5,1,1000,0,100,2,500,0,BFB,UCT,100,44,0,0.696429,0.303571,39
2,2.5,1,1000,0,100,2,700,0,BFB,UCT,100,50,0,0.8,0.2,40
2,2.5,1,5000,0,100,2,1000,0,BFB,UCT,100,42,0,0.775862,0.224138,45
2,2.5,1,5000,0,100,2,100,0,BFB,UCT,100,50,0,0.66,0.34,33
2,2.5,1,5000,0,100,2,5000,0,BFB,UCT,100,45,0,0.545455,0.454545,30
