iterations,a1,a2,seg,domain,max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time,score,unknown
100000,MC,DP,16,0,UCT,UCT,100,11,0,1.000000,0.000000,89,0,0.533827,0.529379,-0.000000
100000,MC,DP,16,0,UCT,UCT,100,15,0,0.988235,0.011765,84,1,0.930007,0.926299,-0.000000
100000,MC,DP,1,0,UCT,UCT,100,52,0,0.812500,0.187500,39,9,0.503297,0.576226,-0.000000
100000,MC,DP,1,0,UCT,UCT,100,58,0,0.785714,0.214286,33,9,0.581574,0.678266,-0.000000
100000,MC,DP,24,0,UCT,UCT,100,10,0,0.988889,0.011111,89,1,0.632701,0.606770,-0.000000
100000,MC,DP,24,0,UCT,UCT,100,10,0,1.000000,0.000000,90,0,0.638334,0.616080,-0.000000
100000,MC,DP,48,0,UCT,UCT,100,3,0,1.000000,0.000000,97,0,0.715742,0.556754,-0.000000
100000,MC,DP,48,0,UCT,UCT,100,8,0,1.000000,0.000000,92,0,0.621365,0.490564,-0.000000
100000,MC,DP,4,0,UCT,UCT,100,49,0,0.862745,0.137255,44,7,0.510513,0.571610,-0.000000
100000,MC,DP,4,0,UCT,UCT,100,52,0,0.875000,0.125000,42,6,0.591430,0.674687,-0.000000
100000,MC,DP,8,0,UCT,UCT,100,34,0,0.924242,0.075758,61,5,0.518933,0.554585,-0.000000
100000,MC,DP,8,0,UCT,UCT,100,36,0,0.984375,0.015625,63,1,0.596059,0.643919,-0.000000
100000,MC,CDP,16,0,UCT,UCT,100,71,0,0.793103,0.206897,23,6,0.609409,0.732360,-0.000000
100000,MC,CDP,1,0,UCT,UCT,100,69,0,0.838710,0.161290,26,5,0.582494,0.706357,-0.000000
100000,MC,CDP,24,0,UCT,UCT,100,63,0,0.621622,0.378378,23,14,0.622599,0.744099,-0.000000
100000,MC,CDP,48,0,UCT,UCT,100,49,0,0.176471,0.823529,9,42,0.702769,0.778692,-0.000000
100000,MC,CDP,4,0,UCT,UCT,100,64,0,0.777778,0.222222,28,8,0.585536,0.708768,-0.000000
100000,MC,CDP,8,0,UCT,UCT,100,65,0,0.800000,0.200000,28,7,0.591563,0.721821,-0.000000
100000,CDP,MC,16,0,UCT,UCT,100,70,0,0.300000,0.700000,9,21,0.739976,0.612635,-0.000000
100000,CDP,MC,16,0,UCT,UCT,100,52,0,0.354167,0.645833,17,31,0.755694,0.604145,-0.000000
100000,CDP,MC,1,0,UCT,UCT,100,65,0,0.228571,0.771429,8,27,0.718516,0.587681,-0.000000
100000,CDP,MC,1,0,UCT,UCT,100,60,0,0.550000,0.450000,22,18,0.711503,0.571449,-0.000000
100000,CDP,MC,24,0,UCT,UCT,100,68,0,0.312500,0.687500,10,22,0.740312,0.625738,-0.000000
100000,CDP,MC,24,0,UCT,UCT,100,58,0,0.428571,0.571429,18,24,0.785173,0.623888,-0.000000
100000,CDP,MC,48,0,UCT,UCT,100,55,0,0.688889,0.311111,31,14,1.187954,1.072931,-0.000000
100000,CDP,MC,48,0,UCT,UCT,100,48,0,0.596154,0.403846,31,21,0.901464,0.717561,-0.000000
