iterations,a1,a2,seg,domain,max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time,score,unknown
100000,MC,DP,16,0,UCT,UCT,100,15,0,0.988235,0.011765,84,1,0.930007,0.926299,-0.000000
100000,MC,DP,1,0,UCT,UCT,100,58,0,0.785714,0.214286,33,9,0.581574,0.678266,-0.000000
100000,MC,DP,24,0,UCT,UCT,100,10,0,1.000000,0.000000,90,0,0.638334,0.616080,-0.000000
100000,MC,DP,48,0,UCT,UCT,100,8,0,1.000000,0.000000,92,0,0.621365,0.490564,-0.000000
100000,MC,DP,4,0,UCT,UCT,100,52,0,0.875000,0.125000,42,6,0.591430,0.674687,-0.000000
100000,MC,DP,8,0,UCT,UCT,100,36,0,0.984375,0.015625,63,1,0.596059,0.643919,-0.000000
100000,CDP,MC,16,0,UCT,UCT,100,52,0,0.354167,0.645833,17,31,0.755694,0.604145,-0.000000
100000,CDP,MC,1,0,UCT,UCT,100,60,0,0.550000,0.450000,22,18,0.711503,0.571449,-0.000000
100000,CDP,MC,24,0,UCT,UCT,100,58,0,0.428571,0.571429,18,24,0.785173,0.623888,-0.000000
100000,CDP,MC,48,0,UCT,UCT,100,48,0,0.596154,0.403846,31,21,0.901464,0.717561,-0.000000
100000,CDP,MC,4,0,UCT,UCT,100,64,0,0.555556,0.444444,20,16,0.724917,0.581574,-0.000000
100000,CDP,MC,8,0,UCT,UCT,100,69,0,0.548387,0.451613,17,14,0.739797,0.588992,-0.000000
100000,Trails,MC,16,0,UCT,UCT,100,38,0,0.032258,0.967742,2,60,0.731387,0.620300,-0.000000
100000,Trails,MC,1,0,UCT,UCT,100,63,0,0.216216,0.783784,8,29,0.726803,0.596922,-0.000000
100000,Trails,MC,24,0,UCT,UCT,100,25,0,0.013333,0.986667,1,74,0.728842,0.669885,-0.000000
100000,Trails,MC,48,0,UCT,UCT,100,19,0,0.098765,0.901235,8,73,0.750046,0.729900,-0.000000
100000,Trails,MC,4,0,UCT,UCT,100,59,0,0.317073,0.682927,13,28,0.738236,0.599963,-0.000000
