pits,backop,heuristics,c,iterations,seed,num_games,ci_threshold,domain,max_alg,min_alg,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time,avg_score
10,3,3,2.5,100000,0,1000,10,0,UCT,UCT,1000,720,0,0.546429,0.453571,153,0.569191,0.589644,-0.000000
10,3,3,2.5,100000,0,1000,1,0,UCT,UCT,1000,608,0,0.431122,0.568878,169,0.572474,0.584954,-0.000000
10,3,3,2.5,100000,0,1000,25,0,UCT,UCT,1000,708,0,0.520548,0.479452,152,0.583142,0.602769,-0.000000
10,3,3,2.5,100000,0,1000,50,0,UCT,UCT,1000,756,0,0.586066,0.413934,143,0.583432,0.601691,-0.000000
10,3,3,2.5,10000,0,1000,10,0,UCT,UCT,1000,597,0,0.607940,0.392060,245,0.046323,0.048013,-0.000000
10,3,3,2.5,10000,0,1000,1,0,UCT,UCT,1000,558,0,0.316742,0.683258,140,0.046755,0.048499,-0.000000
10,3,3,2.5,10000,0,1000,25,0,UCT,UCT,1000,612,0,0.559278,0.440722,217,0.045934,0.047276,-0.000000
10,3,3,2.5,10000,0,1000,50,0,UCT,UCT,1000,611,0,0.503856,0.496144,196,0.046061,0.047210,-0.000000
10,3,3,2.5,1000,0,1000,10,0,UCT,UCT,1000,490,0,0.535294,0.464706,273,0.003961,0.004088,-0.000000
10,3,3,2.5,1000,0,1000,1,0,UCT,UCT,1000,509,0,0.484725,0.515275,238,0.004059,0.004207,-0.000000
10,3,3,2.5,1000,0,1000,25,0,UCT,UCT,1000,479,0,0.516315,0.483685,269,0.003936,0.004040,-0.000000
10,3,3,2.5,1000,0,1000,50,0,UCT,UCT,1000,468,0,0.486842,0.513158,259,0.003932,0.004011,-0.000000
10,3,3,2.5,15000,0,1000,10,0,UCT,UCT,1000,593,0,0.525798,0.474201,214,0.071547,0.073905,-0.000000
10,3,3,2.5,15000,0,1000,1,0,UCT,UCT,1000,600,0,0.322500,0.677500,129,0.074340,0.076805,-0.000000
10,3,3,2.5,15000,0,1000,25,0,UCT,UCT,1000,628,0,0.548387,0.451613,204,0.071089,0.073356,-0.000000
10,3,3,2.5,15000,0,1000,50,0,UCT,UCT,1000,609,0,0.491049,0.508951,192,0.070649,0.072435,-0.000000
10,3,3,2.5,25000,0,1000,10,0,UCT,UCT,1000,674,0,0.595092,0.404908,194,0.125615,0.129672,-0.000000
10,3,3,2.5,25000,0,1000,1,0,UCT,UCT,1000,624,0,0.329787,0.670213,124,0.126014,0.129927,-0.000000
10,3,3,2.5,25000,0,1000,25,0,UCT,UCT,1000,661,0,0.536873,0.463127,182,0.124363,0.127945,-0.000000
10,3,3,2.5,25000,0,1000,50,0,UCT,UCT,1000,673,0,0.519878,0.480122,170,0.123989,0.126795,-0.000000
10,3,3,2.5,50000,0,1000,10,0,UCT,UCT,1000,686,0,0.566879,0.433121,178,0.267630,0.276089,-0.000000
10,3,3,2.5,50000,0,1000,1,0,UCT,UCT,1000,590,0,0.380488,0.619512,156,0.296939,0.302506,-0.000000
10,3,3,2.5,50000,0,1000,25,0,UCT,UCT,1000,742,0,0.527132,0.472868,136,0.266825,0.275551,-0.000000
10,3,3,2.5,50000,0,1000,50,0,UCT,UCT,1000,705,0,0.535593,0.464407,158,0.266099,0.273419,-0.000000
10,3,3,2.5,5000,0,1000,10,0,UCT,UCT,1000,564,0,0.568807,0.431193,248,0.022035,0.022707,-0.000000
10,3,3,2.5,5000,0,1000,1,0,UCT,UCT,1000,550,0,0.320000,0.680000,144,0.022982,0.023787,-0.000000
10,3,3,2.5,5000,0,1000,25,0,UCT,UCT,1000,541,0,0.538126,0.461874,247,0.022569,0.023230,-0.000000
10,3,3,2.5,5000,0,1000,50,0,UCT,UCT,1000,533,0,0.475375,0.524625,222,0.047515,0.048577,-0.000000
10,3,3,2.5,75000,0,1000,10,0,UCT,UCT,1000,695,0,0.570492,0.429508,174,0.417462,0.432637,-0.000000
10,3,3,2.5,75000,0,1000,1,0,UCT,UCT,1000,593,0,0.390663,0.609337,159,0.419665,0.429984,-0.000000
10,3,3,2.5,75000,0,1000,25,0,UCT,UCT,1000,696,0,0.503289,0.496711,153,0.415732,0.431041,-0.000000
10,3,3,2.5,75000,0,1000,50,0,UCT,UCT,1000,713,0,0.547038,0.452962,157,0.413599,0.425591,-0.000000
10,3,6,2.5,100000,0,1000,10,0,UCT,UCT,1000,528,0,0.417373,0.582627,197,0.722310,0.765883,-0.000000
10,3,6,2.5,100000,0,1000,1,0,UCT,UCT,1000,474,0,0.429658,0.570342,226,0.708378,0.740352,-0.000000
10,3,6,2.5,100000,0,1000,25,0,UCT,UCT,1000,530,0,0.444681,0.555319,209,0.718865,0.752521,-0.000000
10,3,6,2.5,100000,0,1000,50,0,UCT,UCT,1000,514,0,0.508230,0.491770,247,0.712031,0.746846,-0.000000
10,3,6,2.5,10000,0,1000,10,0,UCT,UCT,1000,511,0,0.437628,0.562372,214,0.058397,0.061082,-0.000000
10,3,6,2.5,10000,0,1000,1,0,UCT,UCT,1000,489,0,0.369863,0.630137,189,0.058591,0.061754,-0.000000
10,3,6,2.5,10000,0,1000,25,0,UCT,UCT,1000,501,0,0.527054,0.472946,263,0.057879,0.059905,-0.000000
10,3,6,2.5,10000,0,1000,50,0,UCT,UCT,1000,494,0,0.470356,0.529644,238,0.057577,0.059538,-0.000000
10,3,6,2.5,1000,0,1000,10,0,UCT,UCT,1000,477,0,0.443595,0.556405,232,0.004616,0.004766,-0.000000
10,3,6,2.5,1000,0,1000,1,0,UCT,UCT,1000,457,0,0.364641,0.635359,198,0.004689,0.004926,-0.000000
10,3,6,2.5,1000,0,1000,25,0,UCT,UCT,1000,476,0,0.479008,0.520992,251,0.004555,0.004679,-0.000000
10,3,6,2.5,1000,0,1000,50,0,UCT,UCT,1000,512,0,0.512295,0.487705,250,0.004541,0.004603,-0.000000
10,3,6,2.5,15000,0,1000,10,0,UCT,UCT,1000,513,0,0.400411,0.599589,195,0.090992,0.095767,-0.000000
10,3,6,2.5,15000,0,1000,1,0,UCT,UCT,1000,453,0,0.413163,0.586837,226,0.091262,0.096122,-0.000000
10,3,6,2.5,15000,0,1000,25,0,UCT,UCT,1000,531,0,0.484009,0.515991,227,0.090564,0.094065,-0.000000
10,3,6,2.5,15000,0,1000,50,0,UCT,UCT,1000,533,0,0.449679,0.550321,210,0.089840,0.093080,-0.000000
10,3,6,2.5,25000,0,1000,10,0,UCT,UCT,1000,505,0,0.404040,0.595960,200,0.159585,0.169031,-0.000000
10,3,6,2.5,25000,0,1000,1,0,UCT,UCT,1000,481,0,0.379576,0.620424,197,0.159287,0.167104,-0.000000
