backop,heuristics,c,iterations,seed,num_games,domain,max_alg,min_alg,num_of_games,num_of_draws,max_win,min_win,total_win_games,max_time,min_time
AVG,3,2.5,100000,0,1000,0,UCT,MINMAX,1000,684,0.265823,0.734177,84,0.187118,0.275968
AVG,3,2.5,10000,0,1000,0,UCT,MINMAX,1000,477,0.068834,0.931166,36,0.020771,0.026602
AVG,3,2.5,1000,0,1000,0,UCT,MINMAX,1000,180,0.006098,0.993902,5,0.009448,0.008127
AVG,3,2.5,15000,0,1000,0,UCT,MINMAX,1000,535,0.109677,0.890323,51,0.028844,0.037924
AVG,3,2.5,25000,0,1000,0,UCT,MINMAX,1000,590,0.146341,0.853659,60,0.045269,0.061834
AVG,3,2.5,50000,0,1000,0,UCT,MINMAX,1000,618,0.246073,0.753927,94,0.092082,0.130794
AVG,3,2.5,5000,0,1000,0,UCT,MINMAX,1000,379,0.032206,0.967794,20,0.013861,0.015857
AVG,6,2.5,100000,0,1000,0,UCT,MINMAX,1000,413,0.07155,0.92845,42,0.220339,0.360036
AVG,6,2.5,10000,0,1000,0,UCT,MINMAX,1000,357,0.021773,0.978227,14,0.025448,0.035735
AVG,6,2.5,1000,0,1000,0,UCT,MINMAX,1000,208,0.005051,0.99495,4,0.017306,0.0159
AVG,6,2.5,15000,0,1000,0,UCT,MINMAX,1000,337,0.022624,0.977376,15,0.032781,0.049371
AVG,6,2.5,25000,0,1000,0,UCT,MINMAX,1000,365,0.03622,0.96378,23,0.05271,0.083038
AVG,6,2.5,50000,0,1000,0,UCT,MINMAX,1000,387,0.035889,0.964111,22,0.106902,0.172412
AVG,6,2.5,5000,0,1000,0,UCT,MINMAX,1000,310,0.02029,0.97971,14,0.014951,0.018863
AVG,6,2.5,75000,0,1000,0,UCT,MINMAX,1000,381,0.042003,0.957997,26,0.159261,0.268189
MMB,3,2.5,100000,0,1000,0,UCT,MINMAX,1000,57,0.002121,0.997879,2,0.152489,0.28098
MMB,3,2.5,10000,0,1000,0,UCT,MINMAX,1000,39,0,1,0,0.019974,0.029429
MMB,3,2.5,1000,0,1000,0,UCT,MINMAX,1000,33,0,1,0,0.008528,0.007736
MMB,3,2.5,15000,0,1000,0,UCT,MINMAX,1000,37,0,1,0,0.026061,0.041847
MMB,3,2.5,25000,0,1000,0,UCT,MINMAX,1000,64,0,1,0,0.040635,0.068847
MMB,3,2.5,50000,0,1000,0,UCT,MINMAX,1000,62,0.003198,0.996802,3,0.077994,0.141669
MMB,3,2.5,5000,0,1000,0,UCT,MINMAX,1000,33,0,1,0,0.01374,0.017631
MMB,3,2.5,75000,0,1000,0,UCT,MINMAX,1000,51,0.001054,0.998946,1,0.112313,0.209434
MMB,6,2.5,100000,0,1000,0,UCT,MINMAX,1000,483,0.104449,0.895551,54,0.272975,0.389691
MMB,6,2.5,10000,0,1000,0,UCT,MINMAX,1000,430,0.070175,0.929825,40,0.02896,0.037575
MMB,6,2.5,1000,0,1000,0,UCT,MINMAX,1000,285,0.011189,0.988811,8,0.009362,0.007993
MMB,6,2.5,15000,0,1000,0,UCT,MINMAX,1000,439,0.046346,0.953654,26,0.042953,0.056831
MMB,6,2.5,25000,0,1000,0,UCT,MINMAX,1000,445,0.072072,0.927928,40,0.065753,0.092399
MMB,6,2.5,50000,0,1000,0,UCT,MINMAX,1000,480,0.073077,0.926923,38,0.133554,0.188906
MMB,6,2.5,5000,0,1000,0,UCT,MINMAX,1000,382,0.040453,0.959547,25,0.017324,0.020228
MMB,6,2.5,75000,0,1000,0,UCT,MINMAX,1000,453,0.085923,0.914077,47,0.200088,0.28854
VARALL,3,2.5,100000,0,1000,0,UCT,MINMAX,1000,645,0.24507,0.75493,87,0.275595,0.412823
VARALL,3,2.5,10000,0,1000,0,UCT,MINMAX,1000,494,0.045455,0.954545,23,0.0278,0.036411
VARALL,3,2.5,1000,0,1000,0,UCT,MINMAX,1000,267,0.020464,0.979536,15,0.009972,0.007714
VARALL,3,2.5,15000,0,1000,0,UCT,MINMAX,1000,575,0.122353,0.877647,52,0.039765,0.054194
VARALL,3,2.5,25000,0,1000,0,UCT,MINMAX,1000,551,0.104677,0.895323,47,0.062706,0.091763
VARALL,3,2.5,50000,0,1000,0,UCT,MINMAX,1000,630,0.172973,0.827027,64,0.130388,0.192799
VARALL,3,2.5,5000,0,1000,0,UCT,MINMAX,1000,426,0.031359,0.968641,18,0.017228,0.019742
VARALL,3,2.5,75000,0,1000,0,UCT,MINMAX,1000,630,0.197297,0.802703,73,0.199399,0.302944
VARALL,6,2.5,100000,0,1000,0,UCT,MINMAX,1000,396,0.034768,0.965232,21,0.353533,0.581283
VARALL,6,2.5,10000,0,1000,0,UCT,MINMAX,1000,347,0.026034,0.973966,17,0.035085,0.051653
VARALL,6,2.5,1000,0,1000,0,UCT,MINMAX,1000,219,0.007682,0.992318,6,0.009297,0.008701
VARALL,6,2.5,15000,0,1000,0,UCT,MINMAX,1000,340,0.025758,0.974242,17,0.050043,0.077209
VARALL,6,2.5,25000,0,1000,0,UCT,MINMAX,1000,379,0.025765,0.974235,16,0.084037,0.135478
VARALL,6,2.5,50000,0,1000,0,UCT,MINMAX,1000,397,0.038143,0.961857,23,0.331924,0.538267
VARALL,6,2.5,5000,0,1000,0,UCT,MINMAX,1000,309,0.014472,0.985528,10,0.019709,0.026387
VARALL,6,2.5,75000,0,1000,0,UCT,MINMAX,1000,395,0.036364,0.963636,22,0.264364,0.426409
