pits,heuristics,c,iterations,seed,num_games,domain,max_alg,min_alg,num_of_games,num_of_draws,max_win,min_win,total_win_games,max_time,min_time
10,3,2.5,100000,0,100,0,MMUCT,UCT,100,34,0.378788,0.621212,25,0.497767,0.575358
10,3,2.5,10000,0,100,0,MMUCT,UCT,100,50,0.46,0.54,23,0.04124,0.04687
10,3,2.5,1000,0,100,0,MMUCT,UCT,100,41,0.59322,0.40678,35,0.003662,0.003966
10,3,2.5,15000,0,100,0,MMUCT,UCT,100,36,0.390625,0.609375,25,0.063271,0.069678
10,3,2.5,25000,0,100,0,MMUCT,UCT,100,40,0.45,0.55,27,0.110452,0.126734
10,3,2.5,50000,0,100,0,MMUCT,UCT,100,43,0.315789,0.684211,18,0.232746,0.271729
10,3,2.5,5000,0,100,0,MMUCT,UCT,100,44,0.625,0.375,35,0.019996,0.021956
10,3,2.5,75000,0,100,0,MMUCT,UCT,100,47,0.433962,0.566038,23,0.789253,0.905019
10,6,2.5,100000,0,100,0,MMUCT,UCT,100,31,0.043478,0.956522,3,0.708541,0.623657
10,6,2.5,10000,0,100,0,MMUCT,UCT,100,27,0.068493,0.931507,5,0.058675,0.050589
10,6,2.5,1000,0,100,0,MMUCT,UCT,100,28,0.083333,0.916667,6,0.004724,0.004119
10,6,2.5,15000,0,100,0,MMUCT,UCT,100,29,0.140845,0.859155,10,0.68074,0.603348
10,6,2.5,25000,0,100,0,MMUCT,UCT,100,29,0.098592,0.901408,7,0.157789,0.138667
10,6,2.5,50000,0,100,0,MMUCT,UCT,100,27,0.041096,0.958904,3,0.339436,0.292839
10,6,2.5,5000,0,100,0,MMUCT,UCT,100,27,0.068493,0.931507,5,0.027259,0.023436
10,6,2.5,75000,0,100,0,MMUCT,UCT,100,29,0.070423,0.929577,5,0.528245,0.458665
