pits,back_propagation,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,mm_level,domain, max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time
6,1,2,2.5,1,100000,0,100,2,1000,3,0,BFB+SR,MINMAX,100,45,0,0.145455,0.854545,8,0.110632,0.255901
6,1,2,2.5,1,100000,0,100,2,1000,4,0,BFB+SR,MINMAX,100,42,0,0.034483,0.965517,2,0.123725,0.257909
6,1,2,2.5,1,100000,0,100,2,1000,5,0,BFB+SR,MINMAX,100,37,0,0.015873,0.984127,1,0.116650,0.239964
6,1,2,2.5,1,100000,0,100,2,1000,6,0,BFB+SR,MINMAX,100,27,0,0.000000,1.000000,0,0.134754,0.224851
6,1,2,2.5,1,100000,0,100,2,1000,7,0,BFB+SR,MINMAX,100,14,0,0.000000,1.000000,0,0.122111,0.215834
6,1,2,2.5,1,100000,0,100,2,100,3,0,BFB+SR,MINMAX,100,55,0,0.177778,0.822222,8,0.165784,0.338745
6,1,2,2.5,1,100000,0,100,2,100,4,0,BFB+SR,MINMAX,100,39,0,0.131148,0.868852,8,0.163390,0.320260
6,1,2,2.5,1,100000,0,100,2,100,5,0,BFB+SR,MINMAX,100,35,0,0.046154,0.953846,3,0.166596,0.316572
6,1,2,2.5,1,100000,0,100,2,100,6,0,BFB+SR,MINMAX,100,26,0,0.013514,0.986486,1,0.151392,0.324598
6,1,2,2.5,1,100000,0,100,2,100,7,0,BFB+SR,MINMAX,100,23,0,0.000000,1.000000,0,0.177483,0.307407
6,1,2,2.5,1,100000,0,100,2,5000,3,0,BFB+SR,MINMAX,100,53,0,0.212766,0.787234,10,0.127303,0.263596
6,1,2,2.5,1,100000,0,100,2,5000,4,0,BFB+SR,MINMAX,100,40,0,0.016667,0.983333,1,0.122089,0.237899
6,1,2,2.5,1,100000,0,100,2,5000,5,0,BFB+SR,MINMAX,100,33,0,0.014925,0.985075,1,0.131195,0.218059
6,1,2,2.5,1,100000,0,100,2,5000,6,0,BFB+SR,MINMAX,100,33,0,0.000000,1.000000,0,0.125497,0.211101
6,1,2,2.5,1,100000,0,100,2,5000,7,0,BFB+SR,MINMAX,100,25,0,0.026667,0.973333,2,0.127449,0.204860
6,1,2,2.5,1,100000,0,100,2,500,3,0,BFB+SR,MINMAX,100,44,0,0.035714,0.964286,2,0.135366,0.266746
