pits,back_propagation,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,mm_level,domain, max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time
6,2,2,2.5,1,100000,0,100,2,1000,3,0,BFB,MINMAX,100,24,0,1.000000,0.000000,76,0.322056,0.435199
6,2,2,2.5,1,100000,0,100,2,1000,4,0,BFB,MINMAX,100,38,0,1.000000,0.000000,62,0.319696,0.406264
6,2,2,2.5,1,100000,0,100,2,1000,5,0,BFB,MINMAX,100,46,0,0.814815,0.185185,44,0.314901,0.371954
6,2,2,2.5,1,100000,0,100,2,1000,6,0,BFB,MINMAX,100,59,0,0.658537,0.341463,27,0.311410,0.365184
6,2,2,2.5,1,100000,0,100,2,1000,7,0,BFB,MINMAX,100,60,0,0.325000,0.675000,13,0.305176,0.337998
6,2,2,2.5,1,100000,0,100,2,100,3,0,BFB,MINMAX,100,44,0,0.767857,0.232143,43,0.346795,0.439964
6,2,2,2.5,1,100000,0,100,2,100,4,0,BFB,MINMAX,100,55,0,0.755556,0.244444,34,0.330253,0.431648
6,2,2,2.5,1,100000,0,100,2,100,5,0,BFB,MINMAX,100,48,0,0.326923,0.673077,17,0.345608,0.381956
6,2,2,2.5,1,100000,0,100,2,100,6,0,BFB,MINMAX,100,47,0,0.226415,0.773585,12,0.355987,0.385279
6,2,2,2.5,1,100000,0,100,2,100,7,0,BFB,MINMAX,100,41,0,0.033898,0.966102,2,0.326125,0.338891
6,2,2,2.5,1,100000,0,100,2,5000,3,0,BFB,MINMAX,100,18,0,1.000000,0.000000,82,0.325742,0.430459
6,2,2,2.5,1,100000,0,100,2,5000,4,0,BFB,MINMAX,100,21,0,0.987342,0.012658,78,0.329278,0.412696
6,2,2,2.5,1,100000,0,100,2,5000,5,0,BFB,MINMAX,100,49,0,0.941176,0.058824,48,0.327683,0.380231
6,2,2,2.5,1,100000,0,100,2,5000,6,0,BFB,MINMAX,100,48,0,0.865385,0.134615,45,0.312225,0.368608
6,2,2,2.5,1,100000,0,100,2,5000,7,0,BFB,MINMAX,100,59,0,0.731707,0.268293,30,0.303333,0.357084
6,2,2,2.5,1,100000,0,100,2,500,3,0,BFB,MINMAX,100,33,0,0.970149,0.029851,65,0.326275,0.418033
6,2,2,2.5,1,100000,0,100,2,500,4,0,BFB,MINMAX,100,39,0,0.967213,0.032787,59,0.311296,0.401887
6,2,2,2.5,1,100000,0,100,2,500,5,0,BFB,MINMAX,100,48,0,0.692308,0.307692,36,0.294549,0.360646
6,2,2,2.5,1,100000,0,100,2,500,6,0,BFB,MINMAX,100,50,0,0.500000,0.500000,25,0.307235,0.355278
6,2,2,2.5,1,100000,0,100,2,500,7,0,BFB,MINMAX,100,61,0,0.333333,0.666667,13,0.308387,0.331790
6,2,2,2.5,1,100000,0,100,2,700,3,0,BFB,MINMAX,100,17,0,0.987952,0.012048,82,0.328367,0.435049
6,2,2,2.5,1,100000,0,100,2,700,4,0,BFB,MINMAX,100,41,0,0.949153,0.050847,56,0.324517,0.404925
6,2,2,2.5,1,100000,0,100,2,700,5,0,BFB,MINMAX,100,49,0,0.784314,0.215686,40,0.327195,0.393374
6,2,2,2.5,1,100000,0,100,2,700,6,0,BFB,MINMAX,100,63,0,0.621622,0.378378,23,0.314287,0.345865
6,2,2,2.5,1,100000,0,100,2,700,7,0,BFB,MINMAX,100,53,0,0.319149,0.680851,15,0.322224,0.350999
6,2,2,2.5,1,10000,0,100,2,1000,3,0,BFB,MINMAX,100,26,0,0.986486,0.013514,73,0.032138,0.041742
6,2,2,2.5,1,10000,0,100,2,1000,4,0,BFB,MINMAX,100,25,0,0.973333,0.026667,73,0.030529,0.040220
6,2,2,2.5,1,10000,0,100,2,1000,5,0,BFB,MINMAX,100,49,0,0.882353,0.117647,45,0.031756,0.037216
6,2,2,2.5,1,10000,0,100,2,1000,6,0,BFB,MINMAX,100,61,0,0.589744,0.410256,23,0.032049,0.038705
6,2,2,2.5,1,10000,0,100,2,1000,7,0,BFB,MINMAX,100,65,0,0.514286,0.485714,18,0.030402,0.033881
6,2,2,2.5,1,10000,0,100,2,100,3,0,BFB,MINMAX,100,42,0,0.862069,0.137931,50,0.030640,0.040656
6,2,2,2.5,1,10000,0,100,2,100,4,0,BFB,MINMAX,100,45,0,0.672727,0.327273,37,0.034147,0.040784
6,2,2,2.5,1,10000,0,100,2,100,5,0,BFB,MINMAX,100,58,0,0.380952,0.619048,16,0.031989,0.037555
6,2,2,2.5,1,10000,0,100,2,100,6,0,BFB,MINMAX,100,51,0,0.183673,0.816327,9,0.031351,0.034520
6,2,2,2.5,1,10000,0,100,2,100,7,0,BFB,MINMAX,100,42,0,0.051724,0.948276,3,0.034018,0.032552
6,2,2,2.5,1,10000,0,100,2,5000,3,0,BFB,MINMAX,100,20,0,1.000000,0.000000,80,0.034575,0.043408
6,2,2,2.5,1,10000,0,100,2,5000,4,0,BFB,MINMAX,100,26,0,0.986486,0.013514,73,0.033578,0.043756
6,2,2,2.5,1,10000,0,100,2,5000,5,0,BFB,MINMAX,100,49,0,0.921569,0.078431,47,0.035804,0.043169
6,2,2,2.5,1,10000,0,100,2,5000,6,0,BFB,MINMAX,100,60,0,0.775000,0.225000,31,0.033418,0.037880
6,2,2,2.5,1,10000,0,100,2,5000,7,0,BFB,MINMAX,100,57,0,0.581395,0.418605,25,0.032171,0.035782
6,2,2,2.5,1,10000,0,100,2,500,3,0,BFB,MINMAX,100,24,0,0.986842,0.013158,75,0.031406,0.040454
6,2,2,2.5,1,10000,0,100,2,500,4,0,BFB,MINMAX,100,41,0,0.915254,0.084746,54,0.029831,0.039320
6,2,2,2.5,1,10000,0,100,2,500,5,0,BFB,MINMAX,100,61,0,0.717949,0.282051,28,0.031084,0.034478
6,2,2,2.5,1,10000,0,100,2,500,6,0,BFB,MINMAX,100,65,0,0.314286,0.685714,11,0.029236,0.034109
6,2,2,2.5,1,10000,0,100,2,500,7,0,BFB,MINMAX,100,58,0,0.238095,0.761905,10,0.029960,0.032860
6,2,2,2.5,1,10000,0,100,2,700,3,0,BFB,MINMAX,100,20,0,0.975000,0.025000,78,0.034015,0.041340
6,2,2,2.5,1,10000,0,100,2,700,4,0,BFB,MINMAX,100,40,0,0.950000,0.050000,57,0.032578,0.040571
6,2,2,2.5,1,10000,0,100,2,700,5,0,BFB,MINMAX,100,48,0,0.750000,0.250000,39,0.030008,0.036834
6,2,2,2.5,1,10000,0,100,2,700,6,0,BFB,MINMAX,100,52,0,0.541667,0.458333,26,0.031447,0.035665
6,2,2,2.5,1,10000,0,100,2,700,7,0,BFB,MINMAX,100,54,0,0.413043,0.586957,19,0.029179,0.032514
6,2,2,2.5,1,1000,0,100,2,1000,3,0,BFB,MINMAX,100,26,0,0.959459,0.040541,71,0.005690,0.006259
6,2,2,2.5,1,1000,0,100,2,1000,4,0,BFB,MINMAX,100,39,0,0.983607,0.016393,60,0.002503,0.002860
6,2,2,2.5,1,1000,0,100,2,1000,5,0,BFB,MINMAX,100,56,0,0.795455,0.204545,35,0.002696,0.002862
6,2,2,2.5,1,1000,0,100,2,1000,6,0,BFB,MINMAX,100,58,0,0.523810,0.476190,22,0.002555,0.002747
6,2,2,2.5,1,1000,0,100,2,1000,7,0,BFB,MINMAX,100,53,0,0.382979,0.617021,18,0.002923,0.003087
6,2,2,2.5,1,1000,0,100,2,100,3,0,BFB,MINMAX,100,47,0,0.924528,0.075472,49,0.005840,0.006816
6,2,2,2.5,1,1000,0,100,2,100,4,0,BFB,MINMAX,100,59,0,0.682927,0.317073,28,0.002554,0.002886
6,2,2,2.5,1,1000,0,100,2,100,5,0,BFB,MINMAX,100,61,0,0.307692,0.692308,12,0.002610,0.002733
6,2,2,2.5,1,1000,0,100,2,100,6,0,BFB,MINMAX,100,56,0,0.159091,0.840909,7,0.002700,0.002781
6,2,2,2.5,1,1000,0,100,2,100,7,0,BFB,MINMAX,100,39,0,0.016393,0.983607,1,0.002976,0.003079
6,2,2,2.5,1,1000,0,100,2,5000,3,0,BFB,MINMAX,100,21,0,0.987342,0.012658,78,0.006318,0.007843
6,2,2,2.5,1,1000,0,100,2,5000,4,0,BFB,MINMAX,100,49,0,0.901961,0.098039,46,0.002538,0.003095
6,2,2,2.5,1,1000,0,100,2,5000,5,0,BFB,MINMAX,100,52,0,0.854167,0.145833,41,0.002615,0.002946
6,2,2,2.5,1,1000,0,100,2,5000,6,0,BFB,MINMAX,100,46,0,0.574074,0.425926,31,0.002727,0.002985
6,2,2,2.5,1,1000,0,100,2,5000,7,0,BFB,MINMAX,100,57,0,0.534884,0.465116,23,0.003088,0.003300
6,2,2,2.5,1,1000,0,100,2,500,3,0,BFB,MINMAX,100,19,0,0.975309,0.024691,79,0.006158,0.007062
6,2,2,2.5,1,1000,0,100,2,500,4,0,BFB,MINMAX,100,46,0,0.907407,0.092593,49,0.002440,0.002786
6,2,2,2.5,1,1000,0,100,2,500,5,0,BFB,MINMAX,100,62,0,0.710526,0.289474,27,0.002487,0.002703
6,2,2,2.5,1,1000,0,100,2,500,6,0,BFB,MINMAX,100,63,0,0.459459,0.540541,17,0.002582,0.002759
6,2,2,2.5,1,1000,0,100,2,500,7,0,BFB,MINMAX,100,52,0,0.333333,0.666667,16,0.002963,0.002999
6,2,2,2.5,1,1000,0,100,2,700,3,0,BFB,MINMAX,100,22,0,0.974359,0.025641,76,0.006320,0.006630
6,2,2,2.5,1,1000,0,100,2,700,4,0,BFB,MINMAX,100,39,0,0.934426,0.065574,57,0.002511,0.002889
6,2,2,2.5,1,1000,0,100,2,700,5,0,BFB,MINMAX,100,49,0,0.627451,0.372549,32,0.002446,0.002688
6,2,2,2.5,1,1000,0,100,2,700,6,0,BFB,MINMAX,100,54,0,0.586957,0.413043,27,0.002634,0.002750
6,2,2,2.5,1,1000,0,100,2,700,7,0,BFB,MINMAX,100,62,0,0.315789,0.684211,12,0.002910,0.003026
