heuristics,C,Iterations,domain,num_games,type_system,sts_threshold,XXX,max_player,min_player,DRAWS,INCOMPLETE,BFB_super,UCT_super,max_wins
1,0.5,100000,0,100,2,100,0,BFB,UCT,35,0,0.446154,0.553846,29
1,0.5,10000,0,100,2,1000,0,BFB,UCT,49,0,0.705882,0.294118,36
1,0.5,10000,0,100,2,100,0,BFB,UCT,37,0,0.507937,0.492063,32
1,0.5,10000,0,100,2,5000,0,BFB,UCT,52,0,0.583333,0.416667,28
1,0.5,10000,0,100,2,500,0,BFB,UCT,41,0,0.661017,0.338983,39
1,0.5,10000,0,100,2,700,0,BFB,UCT,38,0,0.580645,0.419355,36
1,0.5,1000,0,100,2,1000,0,BFB,UCT,29,0,0.549296,0.450704,39
1,0.5,1000,0,100,2,100,0,BFB,UCT,45,0,0.709091,0.290909,39
1,0.5,1000,0,100,2,5000,0,BFB,UCT,34,0,0.515152,0.484848,34
1,0.5,1000,0,100,2,500,0,BFB,UCT,45,0,0.654545,0.345455,36
1,0.5,1000,0,100,2,700,0,BFB,UCT,42,0,0.655172,0.344828,38
1,0.5,15000,0,100,2,1000,0,BFB,UCT,41,0,0.525424,0.474576,31
1,0.5,15000,0,100,2,100,0,BFB,UCT,45,0,0.618182,0.381818,34
1,0.5,15000,0,100,2,5000,0,BFB,UCT,54,0,0.565217,0.434783,26
1,0.5,15000,0,100,2,500,0,BFB,UCT,42,0,0.603448,0.396552,35
1,0.5,15000,0,100,2,700,0,BFB,UCT,35,0,0.646154,0.353846,42
1,0.5,5000,0,100,2,1000,0,BFB,UCT,39,0,0.655738,0.344262,40
1,0.5,5000,0,100,2,100,0,BFB,UCT,48,0,0.653846,0.346154,34
1,0.5,5000,0,100,2,5000,0,BFB,UCT,42,0,0.568965,0.431034,33
1,0.5,5000,0,100,2,500,0,BFB,UCT,45,0,0.563636,0.436364,31
1,0.5,5000,0,100,2,700,0,BFB,UCT,37,0,0.714286,0.285714,45
1,2.5,100000,0,100,2,100,0,BFB,UCT,57,0,0.348837,0.651163,15
1,2.5,10000,0,100,2,1000,0,BFB,UCT,47,0,0.679245,0.320755,36
1,2.5,10000,0,100,2,100,0,BFB,UCT,54,0,0.673913,0.326087,31
1,2.5,10000,0,100,2,5000,0,BFB,UCT,48,0,0.557692,0.442308,29
1,2.5,10000,0,100,2,500,0,BFB,UCT,47,0,0.735849,0.264151,39
1,2.5,10000,0,100,2,700,0,BFB,UCT,42,0,0.689655,0.310345,40
1,2.5,1000,0,100,2,1000,0,BFB,UCT,54,0,0.565217,0.434783,26
1,2.5,1000,0,100,2,100,0,BFB,UCT,64,0,0.75,0.25,27
1,2.5,1000,0,100,2,5000,0,BFB,UCT,52,0,0.479167,0.520833,23
1,2.5,1000,0,100,2,500,0,BFB,UCT,54,0,0.695652,0.304348,32
1,2.5,1000,0,100,2,700,0,BFB,UCT,49,0,0.745098,0.254902,38
1,2.5,15000,0,100,2,1000,0,BFB,UCT,46,0,0.703704,0.296296,38
1,2.5,15000,0,100,2,100,0,BFB,UCT,42,0,0.655172,0.344828,38
1,2.5,15000,0,100,2,5000,0,BFB,UCT,51,0,0.653061,0.346939,32
1,2.5,15000,0,100,2,500,0,BFB,UCT,58,0,0.571429,0.428571,24
1,2.5,15000,0,100,2,700,0,BFB,UCT,44,0,0.696429,0.303571,39
1,2.5,5000,0,100,2,1000,0,BFB,UCT,57,0,0.72093,0.27907,31
1,2.5,5000,0,100,2,100,0,BFB,UCT,52,0,0.708333,0.291667,34
1,2.5,5000,0,100,2,5000,0,BFB,UCT,49,0,0.392157,0.607843,20
1,2.5,5000,0,100,2,500,0,BFB,UCT,43,0,0.807018,0.192982,46
1,2.5,5000,0,100,2,700,0,BFB,UCT,55,0,0.666667,0.333333,30
2,0.5,10000,0,100,2,1000,0,BFB,UCT,49,0,0.705882,0.294118,36
2,0.5,10000,0,100,2,100,0,BFB,UCT,37,0,0.507937,0.492063,32
2,0.5,10000,0,100,2,5000,0,BFB,UCT,52,0,0.583333,0.416667,28
2,0.5,10000,0,100,2,500,0,BFB,UCT,41,0,0.661017,0.338983,39
2,0.5,10000,0,100,2,700,0,BFB,UCT,38,0,0.580645,0.419355,36
2,0.5,1000,0,100,2,1000,0,BFB,UCT,29,0,0.549296,0.450704,39
2,0.5,1000,0,100,2,100,0,BFB,UCT,45,0,0.709091,0.290909,39
2,0.5,1000,0,100,2,5000,0,BFB,UCT,34,0,0.515152,0.484848,34
2,0.5,1000,0,100,2,500,0,BFB,UCT,45,0,0.654545,0.345455,36
2,0.5,1000,0,100,2,700,0,BFB,UCT,42,0,0.655172,0.344828,38
2,0.5,15000,0,100,2,1000,0,BFB,UCT,41,0,0.525424,0.474576,31
2,0.5,15000,0,100,2,100,0,BFB,UCT,45,0,0.618182,0.381818,34
2,0.5,15000,0,100,2,5000,0,BFB,UCT,54,0,0.565217,0.434783,26
2,0.5,15000,0,100,2,500,0,BFB,UCT,42,0,0.603448,0.396552,35
2,0.5,15000,0,100,2,700,0,BFB,UCT,35,0,0.646154,0.353846,42
2,0.5,5000,0,100,2,1000,0,BFB,UCT,39,0,0.655738,0.344262,40
2,0.5,5000,0,100,2,100,0,BFB,UCT,48,0,0.653846,0.346154,34
2,0.5,5000,0,100,2,5000,0,BFB,UCT,42,0,0.568965,0.431034,33
