pits,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,domain, max_alg, min_alg, mm_level ,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games
6,1,0.5,1,100000,0,100,2,100,0,BFB,MINMAX,3,100,55,0,0.822222,0.177778,37
6,1,0.5,1,100000,0,100,2,5000,0,BFB,MINMAX,3,100,22,0,1,0,78
6,1,0.5,1,100000,0,100,2,500,0,BFB,MINMAX,3,100,37,0,0.984127,0.015873,62
6,1,0.5,1,100000,0,100,2,700,0,BFB,MINMAX,3,100,38,0,0.951613,0.048387,59
6,1,0.5,1,10000,0,100,2,1000,0,BFB,MINMAX,3,100,34,0,1,0,66
6,1,0.5,1,10000,0,100,2,100,0,BFB,MINMAX,3,100,59,0,0.829268,0.170732,34
6,1,0.5,1,10000,0,100,2,5000,0,BFB,MINMAX,3,100,35,0,1,0,65
6,1,0.5,1,10000,0,100,2,500,0,BFB,MINMAX,3,100,42,0,0.982759,0.017241,57
6,1,0.5,1,10000,0,100,2,700,0,BFB,MINMAX,3,100,32,0,0.970588,0.029412,66
6,1,0.5,1,1000,0,100,2,1000,0,BFB,MINMAX,3,100,31,0,0.985507,0.014493,68
6,1,0.5,1,1000,0,100,2,100,0,BFB,MINMAX,3,100,53,0,0.702128,0.297872,33
6,1,0.5,1,1000,0,100,2,5000,0,BFB,MINMAX,3,100,36,0,0.984375,0.015625,63
6,1,0.5,1,1000,0,100,2,500,0,BFB,MINMAX,3,100,52,0,0.979167,0.020833,47
6,1,0.5,1,1000,0,100,2,700,0,BFB,MINMAX,3,100,38,0,0.983871,0.016129,61
6,1,0.5,1,15000,0,100,2,1000,0,BFB,MINMAX,3,100,31,0,0.985507,0.014493,68
6,1,0.5,1,15000,0,100,2,100,0,BFB,MINMAX,3,100,53,0,0.765957,0.234043,36
6,1,0.5,1,15000,0,100,2,5000,0,BFB,MINMAX,3,100,17,0,0.987952,0.012048,82
6,1,0.5,1,15000,0,100,2,500,0,BFB,MINMAX,3,100,41,0,0.932203,0.067797,55
6,1,0.5,1,15000,0,100,2,700,0,BFB,MINMAX,3,100,37,0,1,0,63
6,1,0.5,1,5000,0,100,2,1000,0,BFB,MINMAX,3,100,27,0,0.986301,0.013699,72
6,1,0.5,1,5000,0,100,2,100,0,BFB,MINMAX,3,100,48,0,0.826923,0.173077,43
6,1,0.5,1,5000,0,100,2,5000,0,BFB,MINMAX,3,100,36,0,1,0,64
6,1,0.5,1,5000,0,100,2,500,0,BFB,MINMAX,3,100,25,0,0.946667,0.053333,71
6,1,0.5,1,5000,0,100,2,700,0,BFB,MINMAX,3,100,30,0,0.971429,0.028571,68
6,1,0.5,2,100000,0,100,2,1000,0,BFB,MINMAX,3,100,32,0,1,0,68
6,1,0.5,2,100000,0,100,2,100,0,BFB,MINMAX,3,100,56,0,0.795455,0.204545,35
6,1,0.5,2,100000,0,100,2,5000,0,BFB,MINMAX,3,100,28,0,1,0,72
6,1,0.5,2,100000,0,100,2,500,0,BFB,MINMAX,3,100,41,0,1,0,59
6,1,0.5,2,100000,0,100,2,700,0,BFB,MINMAX,3,100,37,0,0.984127,0.015873,62
6,1,0.5,2,10000,0,100,2,1000,0,BFB,MINMAX,3,100,34,0,0.984848,0.015152,65
6,1,0.5,2,10000,0,100,2,100,0,BFB,MINMAX,3,100,48,0,0.769231,0.230769,40
