pits,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,domain, max_alg, min_alg ,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games
6,3,0.5,1,100000,0,100,2,100,0,BFB,MINMAX,100,46,0,0.518519,0.481481,28
6,3,0.5,1,100000,0,100,2,5000,0,BFB,MINMAX,100,46,0,0.444444,0.555556,24
6,3,0.5,1,100000,0,100,2,500,0,BFB,MINMAX,100,48,0,0.615385,0.384615,32
6,3,0.5,1,100000,0,100,2,700,0,BFB,MINMAX,100,38,0,0.693548,0.306452,43
6,3,0.5,1,10000,0,100,2,1000,0,BFB,MINMAX,100,42,0,0.62069,0.37931,36
6,3,0.5,1,10000,0,100,2,100,0,BFB,MINMAX,100,53,0,0.531915,0.468085,25
6,3,0.5,1,10000,0,100,2,5000,0,BFB,MINMAX,100,41,0,0.135593,0.864407,8
6,3,0.5,1,10000,0,100,2,500,0,BFB,MINMAX,100,47,0,0.698113,0.301887,37
6,3,0.5,1,10000,0,100,2,700,0,BFB,MINMAX,100,43,0,0.666667,0.333333,38
6,3,0.5,1,1000,0,100,2,1000,0,BFB,MINMAX,100,40,0,0.233333,0.766667,14
6,3,0.5,1,1000,0,100,2,100,0,BFB,MINMAX,100,39,0,0.52459,0.47541,32
6,3,0.5,1,1000,0,100,2,5000,0,BFB,MINMAX,100,41,0,0.169492,0.830508,10
6,3,0.5,1,1000,0,100,2,500,0,BFB,MINMAX,100,53,0,0.510638,0.489362,24
6,3,0.5,1,1000,0,100,2,700,0,BFB,MINMAX,100,43,0,0.631579,0.368421,36
6,3,0.5,1,15000,0,100,2,1000,0,BFB,MINMAX,100,49,0,0.588235,0.411765,30
6,3,0.5,1,15000,0,100,2,100,0,BFB,MINMAX,100,44,0,0.571429,0.428571,32
6,3,0.5,1,15000,0,100,2,5000,0,BFB,MINMAX,100,45,0,0.290909,0.709091,16
6,3,0.5,1,15000,0,100,2,500,0,BFB,MINMAX,100,54,0,0.630435,0.369565,29
6,3,0.5,1,15000,0,100,2,700,0,BFB,MINMAX,100,60,0,0.5,0.5,20
6,3,0.5,1,5000,0,100,2,1000,0,BFB,MINMAX,100,54,0,0.608696,0.391304,28
6,3,0.5,1,5000,0,100,2,100,0,BFB,MINMAX,100,54,0,0.565217,0.434783,26
6,3,0.5,1,5000,0,100,2,5000,0,BFB,MINMAX,100,34,0,0.257576,0.742424,17
6,3,0.5,1,5000,0,100,2,500,0,BFB,MINMAX,100,49,0,0.627451,0.372549,32
6,3,0.5,1,5000,0,100,2,700,0,BFB,MINMAX,100,45,0,0.563636,0.436364,31
6,3,0.5,2,100000,0,100,2,1000,0,BFB,MINMAX,100,47,0,0.698113,0.301887,37
6,3,0.5,2,100000,0,100,2,100,0,BFB,MINMAX,100,51,0,0.591837,0.408163,29
6,3,0.5,2,100000,0,100,2,5000,0,BFB,MINMAX,100,47,0,0.528302,0.471698,28
6,3,0.5,2,100000,0,100,2,500,0,BFB,MINMAX,100,56,0,0.75,0.25,33
6,3,0.5,2,100000,0,100,2,700,0,BFB,MINMAX,100,52,0,0.541667,0.458333,26
6,3,0.5,2,10000,0,100,2,1000,0,BFB,MINMAX,100,53,0,0.702128,0.297872,33
6,3,0.5,2,10000,0,100,2,100,0,BFB,MINMAX,100,54,0,0.434783,0.565217,20
6,3,0.5,2,10000,0,100,2,5000,0,BFB,MINMAX,100,45,0,0.490909,0.509091,27
6,3,0.5,2,10000,0,100,2,500,0,BFB,MINMAX,100,55,0,0.6,0.4,27
