Seed, Instance, GS_level,  Iterations, H , GS_Move, GS_Move_Val, UCT_Move, UCT_Move_Val, UCT_GS_Move_Val, CDP_Move, CDP_Move_Val, CDP_GS_Move_Val, MM_Move, MM_Move_Val, MM_GS_Move_Val
0, 0, 12, 5000, h3 , 0, 1.000000, 3, 0.073643, 0.023002, 3, 0.072713 , 0.019512, 0, 1.000000 , 1.000000
1, 1, 12, 5000, h3 , 0, 1.000000, 3, 0.073643, 0.023002, 3, 0.072713 , 0.019512, 0, 1.000000 , 1.000000
2, 2, 12, 5000, h3 , 0, 1.000000, 3, 0.034394, 0.021822, 3, 0.031061 , 0.021822, 2, 1.000000 , -1.000000
3, 3, 12, 5000, h3 , 6, 0.000000, 1, 0.062189, 0.000000, 1, 0.053030 , 0.000000, 0, -1.000000 , 0.000000
4, 4, 12, 5000, h3 , 0, 0.000000, 4, 0.078349, 0.068003, 4, 0.077703 , 0.058150, 0, 1.000000 , 1.000000
5, 5, 12, 5000, h3 , 6, 0.000000, 5, 0.016716, 0.000000, 5, 0.016716 , 0.000000, 0, -1.000000 , 0.000000
6, 6, 12, 5000, h3 , 3, 0.000000, 4, 0.097139, 0.000000, 4, 0.091727 , -0.002861, 0, 0.000000 , -1.000000
7, 7, 12, 5000, h3 , 0, 1.000000, 0, 0.134802, 0.134802, 0, 0.133422 , 0.133422, 0, 1.000000 , 1.000000
8, 8, 12, 5000, h3 , 0, 1.000000, 1, 0.504897, 0.248792, 1, 0.510103 , 0.256098, 0, 1.000000 , 1.000000
9, 9, 12, 5000, h3 , 0, 1.000000, 1, 0.105093, 0.080817, 1, 0.105093 , 0.080429, 0, 1.000000 , 1.000000
10, 10, 12, 5000, h3 , 6, 0.000000, 3, -0.010274, 0.000000, 3, -0.012069 , 0.000000, 0, -1.000000 , 0.000000
11, 11, 12, 5000, h3 , 2, 1.000000, 3, 0.178030, 0.107108, 3, 0.176080 , 0.107108, 2, 1.000000 , 1.000000
12, 12, 12, 5000, h3 , 0, 1.000000, 4, 0.156790, 0.138808, 4, 0.159851 , 0.142128, 0, 1.000000 , 1.000000
