iterations,a1,a2,seg,domain,max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time,score,unknown
100000,MC,CDP,16,0,UCT,UCT,100,66,0,0.529412,0.470588,18,16,0.904252,1.124541,-0.000000
100000,MC,CDP,1,0,UCT,UCT,100,66,0,0.823529,0.176471,28,6,0.586847,0.707599,-0.000000
100000,MC,CDP,24,0,UCT,UCT,100,70,0,0.466667,0.533333,14,16,0.535986,0.649708,-0.000000
100000,MC,CDP,48,0,UCT,UCT,100,51,0,0.204082,0.795918,10,39,0.714403,0.786444,-0.000000
100000,MC,CDP,4,0,UCT,UCT,100,64,0,0.805556,0.194444,29,7,0.590218,0.709153,-0.000000
100000,MC,CDP,8,0,UCT,UCT,100,63,0,0.756757,0.243243,28,9,0.593013,0.719697,-0.000000
100000,DP,CDP,16,0,UCT,UCT,100,15,0,0.011765,0.988235,1,84,0.909358,1.143269,-0.000000
100000,DP,CDP,1,0,UCT,UCT,100,55,0,0.200000,0.800000,9,36,0.675029,0.699511,-0.000000
100000,DP,CDP,24,0,UCT,UCT,100,6,0,0.000000,1.000000,0,94,0.529990,0.651378,-0.000000
100000,DP,CDP,48,0,UCT,UCT,100,2,0,0.000000,1.000000,0,98,0.561754,0.767520,-0.000000
100000,DP,CDP,4,0,UCT,UCT,100,56,0,0.250000,0.750000,11,33,0.682095,0.716091,-0.000000
100000,DP,CDP,8,0,UCT,UCT,100,31,0,0.043478,0.956522,3,66,0.654582,0.735171,-0.000000
100000,Trails,CDP,16,0,UCT,UCT,100,54,0,0.108696,0.891304,5,41,1.134768,1.145223,-0.000000
100000,Trails,CDP,1,0,UCT,UCT,100,61,0,0.589744,0.410256,23,16,0.724152,0.711126,-0.000000
100000,Trails,CDP,24,0,UCT,UCT,100,30,0,0.014286,0.985714,1,69,0.614276,0.668720,-0.000000
100000,Trails,CDP,48,0,UCT,UCT,100,24,0,0.039474,0.960526,3,73,0.736501,0.779435,-0.000000
100000,Trails,CDP,4,0,UCT,UCT,100,66,0,0.411765,0.588235,14,20,0.738149,0.724544,-0.000000
100000,Trails,CDP,8,0,UCT,UCT,100,70,0,0.300000,0.700000,9,21,0.742041,0.735913,-0.000000
10000,MC,CDP,16,0,UCT,UCT,100,55,0,0.822222,0.177778,37,8,0.049295,0.058057,-0.000000
10000,MC,CDP,1,0,UCT,UCT,100,45,0,0.818182,0.181818,45,10,0.048036,0.056081,-0.000000
10000,MC,CDP,24,0,UCT,UCT,100,55,0,0.866667,0.133333,39,6,0.044058,0.050769,-0.000000
10000,MC,CDP,48,0,UCT,UCT,100,50,0,0.320000,0.680000,16,34,0.050278,0.055158,-0.000000
10000,MC,CDP,4,0,UCT,UCT,100,51,0,0.877551,0.122449,43,6,0.048004,0.056341,-0.000000
10000,MC,CDP,8,0,UCT,UCT,100,46,0,0.851852,0.148148,46,8,0.048271,0.056728,-0.000000
10000,DP,CDP,16,0,UCT,UCT,100,26,0,0.027027,0.972973,2,72,0.053044,0.059207,-0.000000
10000,DP,CDP,1,0,UCT,UCT,100,49,0,0.529412,0.470588,27,24,0.053827,0.055788,-0.000000
10000,DP,CDP,24,0,UCT,UCT,100,8,0,0.010870,0.989130,1,91,0.046020,0.052967,-0.000000
10000,DP,CDP,48,0,UCT,UCT,100,3,0,0.000000,1.000000,0,97,0.050579,0.062992,-0.000000
10000,DP,CDP,4,0,UCT,UCT,100,56,0,0.409091,0.590909,18,26,0.053058,0.056225,-0.000000
10000,DP,CDP,8,0,UCT,UCT,100,52,0,0.104167,0.895833,5,43,0.052669,0.057674,-0.000000
10000,Trails,CDP,16,0,UCT,UCT,100,34,0,0.000000,1.000000,0,66,0.089974,1.151916,-0.000000
10000,Trails,CDP,1,0,UCT,UCT,100,44,0,0.089286,0.910714,5,51,0.057110,0.719228,-0.000000
10000,Trails,CDP,24,0,UCT,UCT,100,23,0,0.000000,1.000000,0,77,0.050955,0.666472,-0.000000
10000,Trails,CDP,48,0,UCT,UCT,100,14,0,0.000000,1.000000,0,86,0.052959,0.689606,-0.000000
10000,Trails,CDP,4,0,UCT,UCT,100,44,0,0.125000,0.875000,7,49,0.057608,0.721591,-0.000000
10000,Trails,CDP,8,0,UCT,UCT,100,44,0,0.107143,0.892857,6,50,0.058832,0.732838,-0.000000
1000,MC,CDP,16,0,UCT,UCT,100,54,0,0.782609,0.217391,36,10,0.004210,0.004692,-0.000000
1000,MC,CDP,1,0,UCT,UCT,100,55,0,0.511111,0.488889,23,22,0.004030,0.004628,-0.000000
1000,MC,CDP,24,0,UCT,UCT,100,53,0,0.808511,0.191489,38,9,0.003752,0.004141,-0.000000
1000,MC,CDP,48,0,UCT,UCT,100,44,0,0.535714,0.464286,30,26,0.004709,0.005162,-0.000000
1000,MC,CDP,4,0,UCT,UCT,100,45,0,0.545455,0.454545,30,25,0.004062,0.004599,-0.000000
1000,MC,CDP,8,0,UCT,UCT,100,45,0,0.636364,0.363636,35,20,0.004077,0.004646,-0.000000
1000,DP,CDP,16,0,UCT,UCT,100,32,0,0.117647,0.882353,8,60,0.004538,0.004836,-0.000000
1000,DP,CDP,1,0,UCT,UCT,100,56,0,0.295455,0.704545,13,31,0.004437,0.004705,-0.000000
1000,DP,CDP,24,0,UCT,UCT,100,21,0,0.025316,0.974684,2,77,0.003977,0.004304,-0.000000
1000,DP,CDP,48,0,UCT,UCT,100,16,0,0.011905,0.988095,1,83,0.004493,0.005081,-0.000000
1000,DP,CDP,4,0,UCT,UCT,100,49,0,0.156863,0.843137,8,43,0.004460,0.004683,-0.000000
1000,DP,CDP,8,0,UCT,UCT,100,41,0,0.101695,0.898305,6,53,0.004477,0.004739,-0.000000
1000,Trails,CDP,16,0,UCT,UCT,100,51,0,0.265306,0.734694,13,36,0.007077,0.006953,-0.000000
1000,Trails,CDP,1,0,UCT,UCT,100,57,0,0.325581,0.674419,14,29,0.004667,0.004744,-0.000000
1000,Trails,CDP,24,0,UCT,UCT,100,40,0,0.233333,0.766667,14,46,0.004271,0.004279,-0.000000
1000,Trails,CDP,48,0,UCT,UCT,100,45,0,0.236364,0.763636,13,42,0.004402,0.004520,-0.000000
1000,Trails,CDP,4,0,UCT,UCT,100,45,0,0.363636,0.636364,20,35,0.004698,0.004713,-0.000000
1000,Trails,CDP,8,0,UCT,UCT,100,50,0,0.400000,0.600000,20,30,0.004743,0.004733,-0.000000
25000,MC,CDP,16,0,UCT,UCT,100,65,0,0.800000,0.200000,28,7,0.198657,0.240200,-0.000000
25000,MC,CDP,1,0,UCT,UCT,100,58,0,0.809524,0.190476,34,8,0.128293,0.154083,-0.000000
25000,MC,CDP,24,0,UCT,UCT,100,69,0,0.677419,0.322581,21,10,0.118769,0.141233,-0.000000
25000,MC,CDP,48,0,UCT,UCT,100,52,0,0.291667,0.708333,14,34,0.135054,0.150810,-0.000000
25000,MC,CDP,4,0,UCT,UCT,100,60,0,0.925000,0.075000,37,3,0.129954,0.155122,-0.000000
25000,MC,CDP,8,0,UCT,UCT,100,55,0,0.866667,0.133333,39,6,0.131916,0.155434,-0.000000
25000,DP,CDP,16,0,UCT,UCT,100,29,0,0.014085,0.985915,1,70,0.139945,0.160535,-0.000000
25000,DP,CDP,1,0,UCT,UCT,100,55,0,0.600000,0.400000,27,18,0.149936,0.153132,-0.000000
25000,DP,CDP,24,0,UCT,UCT,100,13,0,0.011494,0.988506,1,86,0.122023,0.141486,-0.000000
25000,DP,CDP,48,0,UCT,UCT,100,7,0,0.010753,0.989247,1,92,0.129213,0.171143,-0.000000
25000,DP,CDP,4,0,UCT,UCT,100,51,0,0.285714,0.714286,14,35,0.147733,0.155664,-0.000000
25000,DP,CDP,8,0,UCT,UCT,100,37,0,0.111111,0.888889,7,56,0.142678,0.155922,-0.000000
25000,Trails,CDP,16,0,UCT,UCT,100,51,0,0.204082,0.795918,10,39,0.162875,0.163409,-0.000000
25000,Trails,CDP,1,0,UCT,UCT,100,61,0,0.666667,0.333333,26,13,0.155783,0.155429,-0.000000
25000,Trails,CDP,24,0,UCT,UCT,100,33,0,0.074627,0.925373,5,62,0.137871,0.144589,-0.000000
25000,Trails,CDP,48,0,UCT,UCT,100,27,0,0.068493,0.931507,5,68,0.164963,0.171743,-0.000000
25000,Trails,CDP,4,0,UCT,UCT,100,51,0,0.673469,0.326531,33,16,0.158465,0.156502,-0.000000
25000,Trails,CDP,8,0,UCT,UCT,100,61,0,0.538462,0.461538,21,18,0.158882,0.158457,-0.000000
50000,MC,CDP,16,0,UCT,UCT,100,59,0,0.780488,0.219512,32,9,0.427255,0.519538,-0.000000
50000,MC,CDP,1,0,UCT,UCT,100,58,0,0.809524,0.190476,34,8,0.276280,0.330038,-0.000000
