iterations,a1,a2,seg,domain,max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time,score,unknown
100000,MC,DP,16,0,UCT,UCT,100,38,0,0.870968,0.129032,54,8,0.557009,0.530454,-0.000000
100000,MC,DP,1,0,UCT,UCT,100,60,0,0.625000,0.375000,25,15,0.635531,0.695112,-0.000000
100000,MC,DP,24,0,UCT,UCT,100,38,0,0.903226,0.096774,56,6,0.615550,0.600875,-0.000000
100000,MC,DP,4,0,UCT,UCT,100,58,0,0.571429,0.428571,24,18,0.648678,0.672447,-0.000000
100000,MC,DP,8,0,UCT,UCT,100,40,0,0.766667,0.233333,46,14,0.659511,0.638537,-0.000000
100000,CDP,MC,16,0,UCT,UCT,100,57,0,0.558140,0.441860,24,19,1.117133,0.935235,-0.000000
100000,CDP,MC,1,0,UCT,UCT,100,56,0,0.431818,0.568182,19,25,0.763672,0.644544,-0.000000
100000,CDP,MC,24,0,UCT,UCT,100,52,0,0.562500,0.437500,27,21,0.705576,0.603306,-0.000000
100000,CDP,MC,4,0,UCT,UCT,100,59,0,0.512195,0.487805,21,20,0.765873,0.644789,-0.000000
100000,CDP,MC,8,0,UCT,UCT,100,62,0,0.368421,0.631579,14,24,0.771623,0.647741,-0.000000
100000,CDP,DP,16,0,UCT,UCT,100,46,0,0.833333,0.166667,45,9,0.665553,0.542329,-0.000000
100000,CDP,DP,1,0,UCT,UCT,100,71,0,0.689655,0.310345,20,9,0.764389,0.689462,-0.000000
100000,CDP,DP,24,0,UCT,UCT,100,47,0,0.886792,0.113208,47,6,0.708707,0.594823,-0.000000
100000,CDP,DP,4,0,UCT,UCT,100,60,0,0.550000,0.450000,22,18,0.777386,0.673982,-0.000000
100000,CDP,DP,8,0,UCT,UCT,100,45,0,0.836364,0.163636,46,9,0.787042,0.651168,-0.000000
100000,Trails,MC,16,0,UCT,UCT,100,50,0,0.360000,0.640000,18,32,0.571103,0.546161,-0.000000
100000,Trails,MC,1,0,UCT,UCT,100,54,0,0.478261,0.521739,22,24,0.720078,0.628259,-0.000000
100000,Trails,MC,24,0,UCT,UCT,100,41,0,0.203390,0.796610,12,47,0.620628,0.613602,-0.000000
100000,Trails,MC,4,0,UCT,UCT,100,58,0,0.357143,0.642857,15,27,0.726724,0.647055,-0.000000
100000,Trails,MC,8,0,UCT,UCT,100,61,0,0.461538,0.538462,18,21,0.718372,0.650856,-0.000000
100000,Trails,DP,16,0,UCT,UCT,100,39,0,0.803279,0.196721,49,12,0.602411,0.534124,-0.000000
100000,Trails,DP,1,0,UCT,UCT,100,63,0,0.513514,0.486486,19,18,0.732500,0.689335,-0.000000
100000,Trails,DP,24,0,UCT,UCT,100,37,0,0.587302,0.412698,37,26,0.643534,0.605538,-0.000000
100000,Trails,DP,4,0,UCT,UCT,100,61,0,0.538462,0.461538,21,18,0.726925,0.660006,-0.000000
100000,Trails,DP,8,0,UCT,UCT,100,44,0,0.714286,0.285714,40,16,0.718967,0.621645,-0.000000
10000,MC,DP,16,0,UCT,UCT,100,36,0,0.921875,0.078125,59,5,0.045870,0.045986,-0.000000
10000,MC,DP,1,0,UCT,UCT,100,53,0,0.531915,0.468085,25,22,0.054677,0.060026,-0.000000
10000,MC,DP,24,0,UCT,UCT,100,45,0,0.872727,0.127273,48,7,0.050924,0.050895,-0.000000
