iterations,a1,a2,seg,domain,max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time,score,unknown
100000,MC,DP,16,0,UCT,UCT,100,31,0,0.478261,0.521739,33,36,0.875944,0.570673,-0.000000
100000,MC,DP,1,0,UCT,UCT,100,39,0,0.622951,0.377049,38,23,0.849248,0.735905,-0.000000
100000,MC,DP,24,0,UCT,UCT,100,27,0,0.506849,0.493151,37,36,0.780408,0.485649,-0.000000
100000,MC,DP,48,0,UCT,UCT,100,20,0,0.762500,0.237500,61,19,0.924625,0.544743,-0.000000
100000,MC,DP,4,0,UCT,UCT,100,55,0,0.488889,0.511111,22,23,0.841816,0.710986,-0.000000
100000,MC,DP,8,0,UCT,UCT,100,43,0,0.508772,0.491228,29,28,0.717815,0.567107,-0.000000
100000,CDP,MC,16,0,UCT,UCT,100,33,0,0.597015,0.402985,40,27,0.888888,0.747873,-0.000000
100000,CDP,MC,1,0,UCT,UCT,100,30,0,0.700000,0.300000,49,21,1.005872,0.844465,-0.000000
100000,CDP,MC,24,0,UCT,UCT,100,30,0,0.528571,0.471429,37,33,0.915504,0.754182,-0.000000
100000,CDP,MC,48,0,UCT,UCT,100,43,0,0.508772,0.491228,29,28,1.085815,0.882214,-0.000000
100000,CDP,MC,4,0,UCT,UCT,100,27,0,0.520548,0.479452,38,35,0.992581,0.842241,-0.000000
100000,CDP,MC,8,0,UCT,UCT,100,42,0,0.551724,0.448276,32,26,1.002339,0.832184,-0.000000
100000,CDP,DP,16,0,UCT,UCT,100,34,0,0.560606,0.439394,37,29,1.065443,0.573794,-0.000000
100000,CDP,DP,1,0,UCT,UCT,100,34,0,0.545455,0.454545,36,30,0.986594,0.736245,-0.000000
100000,CDP,DP,24,0,UCT,UCT,100,36,0,0.671875,0.328125,43,21,1.136616,0.577433,-0.000000
100000,CDP,DP,48,0,UCT,UCT,100,31,0,0.797101,0.202899,55,14,1.184770,0.543189,-0.000000
100000,CDP,DP,4,0,UCT,UCT,100,35,0,0.507692,0.492308,33,32,0.997425,0.706197,-0.000000
100000,CDP,DP,8,0,UCT,UCT,100,41,0,0.610169,0.389830,36,23,0.868092,0.565183,-0.000000
100000,Trails,MC,16,0,UCT,UCT,100,25,0,0.786667,0.213333,59,16,0.840074,0.891292,-0.000000
100000,Trails,MC,1,0,UCT,UCT,100,41,0,0.406780,0.593220,24,35,0.904081,0.876131,-0.000000
100000,Trails,MC,24,0,UCT,UCT,100,34,0,0.696970,0.303030,46,20,0.854817,0.896833,-0.000000
100000,Trails,MC,48,0,UCT,UCT,100,33,0,0.716418,0.283582,48,19,0.889260,0.892941,-0.000000
100000,Trails,MC,4,0,UCT,UCT,100,34,0,0.363636,0.636364,24,42,0.884251,0.857976,-0.000000
100000,Trails,MC,8,0,UCT,UCT,100,47,0,0.490566,0.509434,26,27,1.377632,1.340623,-0.000000
100000,Trails,DP,16,0,UCT,UCT,100,34,0,0.742424,0.257576,49,17,0.814990,0.582143,-0.000000
100000,Trails,DP,1,0,UCT,UCT,100,42,0,0.465517,0.534483,27,31,0.886715,0.745575,-0.000000
100000,Trails,DP,24,0,UCT,UCT,100,26,0,0.824324,0.175676,61,13,0.884319,0.614175,-0.000000
100000,Trails,DP,48,0,UCT,UCT,100,19,0,0.901235,0.098765,73,8,0.794193,0.477160,-0.000000
100000,Trails,DP,4,0,UCT,UCT,100,37,0,0.412698,0.587302,26,37,0.863433,0.712573,-0.000000
100000,Trails,DP,8,0,UCT,UCT,100,41,0,0.406780,0.593220,24,35,0.730037,0.572696,-0.000000
10000,MC,DP,16,0,UCT,UCT,100,38,0,0.500000,0.500000,31,31,0.078950,0.056260,-0.000000
10000,MC,DP,1,0,UCT,UCT,100,43,0,0.421053,0.578947,24,33,0.071628,0.069047,-0.000000
10000,MC,DP,24,0,UCT,UCT,100,33,0,0.462687,0.537313,31,36,0.070451,0.046298,-0.000000
10000,MC,DP,48,0,UCT,UCT,100,32,0,0.779412,0.220588,53,15,0.082748,0.050553,-0.000000
10000,MC,DP,4,0,UCT,UCT,100,33,0,0.477612,0.522388,32,35,0.072892,0.067396,-0.000000
10000,MC,DP,8,0,UCT,UCT,100,41,0,0.338983,0.661017,20,39,0.064467,0.052996,-0.000000
10000,CDP,MC,16,0,UCT,UCT,100,41,0,0.508475,0.491525,30,29,0.080225,0.068318,-0.000000
10000,CDP,MC,1,0,UCT,UCT,100,36,0,0.625000,0.375000,40,24,0.088361,0.074185,-0.000000
10000,CDP,MC,24,0,UCT,UCT,100,40,0,0.516667,0.483333,31,29,0.093960,0.077417,-0.000000
10000,CDP,MC,48,0,UCT,UCT,100,37,0,0.507937,0.492063,32,31,0.098844,0.079796,-0.000000
10000,CDP,MC,4,0,UCT,UCT,100,41,0,0.542373,0.457627,32,27,0.086727,0.073676,-0.000000
10000,CDP,MC,8,0,UCT,UCT,100,37,0,0.507937,0.492063,32,31,0.089217,0.075372,-0.000000
10000,CDP,DP,16,0,UCT,UCT,100,40,0,0.450000,0.550000,27,33,0.097222,0.058677,-0.000000
10000,CDP,DP,1,0,UCT,UCT,100,47,0,0.396226,0.603774,21,32,0.086479,0.069999,-0.000000
10000,CDP,DP,24,0,UCT,UCT,100,42,0,0.586207,0.413793,34,24,0.082368,0.046636,-0.000000
10000,CDP,DP,48,0,UCT,UCT,100,18,0,0.792683,0.207317,65,17,0.087818,0.044891,-0.000000
10000,CDP,DP,4,0,UCT,UCT,100,37,0,0.380952,0.619048,24,39,0.086514,0.067622,-0.000000
10000,CDP,DP,8,0,UCT,UCT,100,38,0,0.451613,0.548387,28,34,0.138893,0.098519,-0.000000
10000,Trails,MC,16,0,UCT,UCT,100,32,0,0.735294,0.264706,50,18,0.064158,0.764059,-0.000000
10000,Trails,MC,1,0,UCT,UCT,100,27,0,0.397260,0.602740,29,44,0.083166,0.874447,-0.000000
10000,Trails,MC,24,0,UCT,UCT,100,31,0,0.739130,0.260870,51,18,0.072760,0.895043,-0.000000
10000,Trails,MC,48,0,UCT,UCT,100,40,0,0.683333,0.316667,41,19,0.063740,0.755070,-0.000000
10000,Trails,MC,4,0,UCT,UCT,100,29,0,0.450704,0.549296,32,39,0.081257,0.862943,-0.000000
10000,Trails,MC,8,0,UCT,UCT,100,33,0,0.432836,0.567164,29,38,0.126597,1.318597,-0.000000
10000,Trails,DP,16,0,UCT,UCT,100,37,0,0.746032,0.253968,47,16,0.074382,0.055732,-0.000000
10000,Trails,DP,1,0,UCT,UCT,100,38,0,0.435484,0.564516,27,35,0.080637,0.070156,-0.000000
10000,Trails,DP,24,0,UCT,UCT,100,38,0,0.774194,0.225806,48,14,0.073423,0.053693,-0.000000
10000,Trails,DP,48,0,UCT,UCT,100,30,0,0.914286,0.085714,64,6,0.077080,0.050885,-0.000000
10000,Trails,DP,4,0,UCT,UCT,100,43,0,0.403509,0.596491,23,34,0.079695,0.068042,-0.000000
10000,Trails,DP,8,0,UCT,UCT,100,47,0,0.358491,0.641509,19,34,0.067353,0.054406,-0.000000
1000,MC,DP,16,0,UCT,UCT,100,34,0,0.515152,0.484848,34,32,0.005983,0.004798,-0.000000
1000,MC,DP,1,0,UCT,UCT,100,40,0,0.300000,0.700000,18,42,0.005556,0.005611,-0.000000
1000,MC,DP,24,0,UCT,UCT,100,27,0,0.698630,0.301370,51,22,0.006217,0.004681,-0.000000
1000,MC,DP,48,0,UCT,UCT,100,34,0,0.833333,0.166667,55,11,0.006263,0.004649,-0.000000
1000,MC,DP,4,0,UCT,UCT,100,44,0,0.357143,0.642857,20,36,0.005508,0.005294,-0.000000
1000,MC,DP,8,0,UCT,UCT,100,43,0,0.350877,0.649123,20,37,0.004959,0.004446,-0.000000
1000,CDP,MC,16,0,UCT,UCT,100,42,0,0.500000,0.500000,29,29,0.005671,0.005195,-0.000000
1000,CDP,MC,1,0,UCT,UCT,100,46,0,0.481481,0.518519,26,28,0.006106,0.005644,-0.000000
1000,CDP,MC,24,0,UCT,UCT,100,35,0,0.538462,0.461538,35,30,0.006695,0.005996,-0.000000
1000,CDP,MC,48,0,UCT,UCT,100,36,0,0.515625,0.484375,33,31,0.007042,0.006083,-0.000000
1000,CDP,MC,4,0,UCT,UCT,100,41,0,0.576271,0.423729,34,25,0.006039,0.005624,-0.000000
1000,CDP,MC,8,0,UCT,UCT,100,36,0,0.562500,0.437500,36,28,0.006197,0.005692,-0.000000
1000,CDP,DP,16,0,UCT,UCT,100,39,0,0.590164,0.409836,36,25,0.006485,0.004781,-0.000000
1000,CDP,DP,1,0,UCT,UCT,100,37,0,0.476190,0.523810,30,33,0.006072,0.005660,-0.000000
1000,CDP,DP,24,0,UCT,UCT,100,41,0,0.661017,0.338983,39,20,0.006898,0.004686,-0.000000
1000,CDP,DP,48,0,UCT,UCT,100,39,0,0.786885,0.213115,48,13,0.007125,0.004613,-0.000000
1000,CDP,DP,4,0,UCT,UCT,100,38,0,0.435484,0.564516,27,35,0.005959,0.005300,-0.000000
1000,CDP,DP,8,0,UCT,UCT,100,48,0,0.461538,0.538462,24,28,0.009806,0.007938,-0.000000
1000,Trails,MC,16,0,UCT,UCT,100,36,0,0.765625,0.234375,49,15,0.004978,0.005298,-0.000000
1000,Trails,MC,1,0,UCT,UCT,100,37,0,0.571429,0.428571,36,27,0.006200,0.005672,-0.000000
1000,Trails,MC,24,0,UCT,UCT,100,34,0,0.818182,0.181818,54,12,0.004692,0.005197,-0.000000
1000,Trails,MC,48,0,UCT,UCT,100,37,0,0.634921,0.365079,40,23,0.004676,0.005361,-0.000000
1000,Trails,MC,4,0,UCT,UCT,100,38,0,0.564516,0.435484,35,27,0.006121,0.005680,-0.000000
1000,Trails,MC,8,0,UCT,UCT,100,32,0,0.705882,0.294118,48,20,0.009110,0.008784,-0.000000
1000,Trails,DP,16,0,UCT,UCT,100,37,0,0.698413,0.301587,44,19,0.005637,0.004846,-0.000000
1000,Trails,DP,1,0,UCT,UCT,100,32,0,0.455882,0.544118,31,37,0.006204,0.005652,-0.000000
1000,Trails,DP,24,0,UCT,UCT,100,30,0,0.857143,0.142857,60,10,0.005404,0.004660,-0.000000
1000,Trails,DP,48,0,UCT,UCT,100,29,0,0.845070,0.154930,60,11,0.005292,0.004585,-0.000000
1000,Trails,DP,4,0,UCT,UCT,100,38,0,0.435484,0.564516,27,35,0.005977,0.005345,-0.000000
1000,Trails,DP,8,0,UCT,UCT,100,39,0,0.508197,0.491803,31,30,0.005171,0.004506,-0.000000
25000,MC,DP,16,0,UCT,UCT,100,39,0,0.508197,0.491803,31,30,0.207995,0.143943,-0.000000
25000,MC,DP,1,0,UCT,UCT,100,31,0,0.463768,0.536232,32,37,0.204775,0.182661,-0.000000
25000,MC,DP,24,0,UCT,UCT,100,29,0,0.507042,0.492958,36,35,0.217619,0.141202,-0.000000
25000,MC,DP,48,0,UCT,UCT,100,34,0,0.727273,0.272727,48,18,0.224803,0.137485,-0.000000
25000,MC,DP,4,0,UCT,UCT,100,36,0,0.453125,0.546875,29,35,0.195896,0.171553,-0.000000
25000,MC,DP,8,0,UCT,UCT,100,37,0,0.444444,0.555556,28,35,0.171452,0.137600,-0.000000
25000,CDP,MC,16,0,UCT,UCT,100,33,0,0.388060,0.611940,26,41,0.211815,0.178525,-0.000000
25000,CDP,MC,1,0,UCT,UCT,100,40,0,0.633333,0.366667,38,22,0.227031,0.192276,-0.000000
25000,CDP,MC,24,0,UCT,UCT,100,46,0,0.611111,0.388889,33,21,0.254889,0.209419,-0.000000
25000,CDP,MC,48,0,UCT,UCT,100,36,0,0.406250,0.593750,26,38,0.269583,0.218317,-0.000000
25000,CDP,MC,4,0,UCT,UCT,100,43,0,0.526316,0.473684,30,27,0.232751,0.193196,-0.000000
25000,CDP,MC,8,0,UCT,UCT,100,39,0,0.557377,0.442623,34,27,0.234163,0.196118,-0.000000
25000,CDP,DP,16,0,UCT,UCT,100,42,0,0.379310,0.620690,22,36,0.214045,0.126741,-0.000000
25000,CDP,DP,1,0,UCT,UCT,100,42,0,0.482759,0.517241,28,30,0.235014,0.177772,-0.000000
25000,CDP,DP,24,0,UCT,UCT,100,33,0,0.641791,0.358209,43,24,0.264302,0.138154,-0.000000
25000,CDP,DP,48,0,UCT,UCT,100,32,0,0.779412,0.220588,53,15,0.284630,0.140416,-0.000000
25000,CDP,DP,4,0,UCT,UCT,100,49,0,0.431373,0.568627,22,29,0.227312,0.168404,-0.000000
25000,CDP,DP,8,0,UCT,UCT,100,34,0,0.469697,0.530303,31,35,0.372478,0.258719,-0.000000
25000,Trails,MC,16,0,UCT,UCT,100,29,0,0.845070,0.154930,60,11,0.197252,0.207164,-0.000000
25000,Trails,MC,1,0,UCT,UCT,100,38,0,0.370968,0.629032,23,39,0.214657,0.197055,-0.000000
25000,Trails,MC,24,0,UCT,UCT,100,34,0,0.803030,0.196970,53,13,0.192386,0.205479,-0.000000
25000,Trails,MC,48,0,UCT,UCT,100,27,0,0.794521,0.205479,58,15,0.208917,0.219417,-0.000000
25000,Trails,MC,4,0,UCT,UCT,100,40,0,0.450000,0.550000,27,33,0.214091,0.200440,-0.000000
25000,Trails,MC,8,0,UCT,UCT,100,37,0,0.476190,0.523810,30,33,0.336767,0.316215,-0.000000
25000,Trails,DP,16,0,UCT,UCT,100,38,0,0.709677,0.290323,44,18,0.198091,0.145645,-0.000000
25000,Trails,DP,1,0,UCT,UCT,100,42,0,0.379310,0.620690,22,36,0.210982,0.180115,-0.000000
25000,Trails,DP,24,0,UCT,UCT,100,32,0,0.823529,0.176471,56,12,0.198621,0.138615,-0.000000
25000,Trails,DP,48,0,UCT,UCT,100,25,0,0.880000,0.120000,66,9,0.338660,0.188753,-0.000000
25000,Trails,DP,4,0,UCT,UCT,100,38,0,0.403226,0.596774,25,37,0.208445,0.173947,-0.000000
25000,Trails,DP,8,0,UCT,UCT,100,40,0,0.566667,0.433333,34,26,0.173786,0.137499,-0.000000
50000,MC,DP,16,0,UCT,UCT,100,41,0,0.423729,0.576271,25,34,0.435588,0.290635,-0.000000
50000,MC,DP,1,0,UCT,UCT,100,40,0,0.466667,0.533333,28,32,0.410219,0.358486,-0.000000
50000,MC,DP,24,0,UCT,UCT,100,44,0,0.625000,0.375000,35,21,0.447559,0.289712,-0.000000
50000,MC,DP,48,0,UCT,UCT,100,31,0,0.840580,0.159420,58,11,0.462510,0.275989,-0.000000
50000,MC,DP,4,0,UCT,UCT,100,35,0,0.492308,0.507692,32,33,0.404871,0.343100,-0.000000
50000,MC,DP,8,0,UCT,UCT,100,31,0,0.405797,0.594203,28,41,0.352561,0.282376,-0.000000
50000,CDP,MC,16,0,UCT,UCT,100,38,0,0.516129,0.483871,32,30,0.436206,0.371740,-0.000000
50000,CDP,MC,1,0,UCT,UCT,100,35,0,0.507692,0.492308,33,32,0.487980,0.410993,-0.000000
50000,CDP,MC,24,0,UCT,UCT,100,31,0,0.579710,0.420290,40,29,0.528398,0.429989,-0.000000
50000,CDP,MC,48,0,UCT,UCT,100,39,0,0.442623,0.557377,27,34,0.549430,0.438849,-0.000000
50000,CDP,MC,4,0,UCT,UCT,100,41,0,0.525424,0.474576,31,28,0.489769,0.410580,-0.000000
50000,CDP,MC,8,0,UCT,UCT,100,38,0,0.483871,0.516129,30,32,0.769253,0.633898,-0.000000
50000,CDP,DP,16,0,UCT,UCT,100,37,0,0.539683,0.460317,34,29,0.445136,0.252199,-0.000000
