pits,heuristics,c,iterations,seed,num_games,ci_threshold,domain,max_alg,min_alg,num_of_games,num_of_draws,max_win,min_win,total_win_games,max_time,min_time
10,3,2.5,100000,0,100,120,0,MMUCT,UCT,100,74,0.423077,0.576923,11,0.552708,0.551048
10,3,2.5,100000,0,100,30,0,MMUCT,UCT,100,77,0.434783,0.565217,10,0.561225,0.554163
10,3,2.5,100000,0,100,60,0,MMUCT,UCT,100,78,0.545455,0.454545,12,0.560997,0.554897
10,3,2.5,100000,0,100,90,0,MMUCT,UCT,100,76,0.5,0.5,12,0.556957,0.55325
10,3,2.5,10000,0,100,120,0,MMUCT,UCT,100,55,0.533333,0.466667,24,0.04533,0.044823
10,3,2.5,10000,0,100,30,0,MMUCT,UCT,100,64,0.472222,0.527778,17,0.04514,0.044992
10,3,2.5,10000,0,100,60,0,MMUCT,UCT,100,58,0.428571,0.571429,18,0.045502,0.045187
10,3,2.5,10000,0,100,90,0,MMUCT,UCT,100,64,0.5,0.5,18,0.045448,0.045441
10,3,2.5,1000,0,100,120,0,MMUCT,UCT,100,50,0.46,0.54,23,0.003942,0.003922
10,3,2.5,1000,0,100,30,0,MMUCT,UCT,100,53,0.510638,0.489362,24,0.003926,0.003917
10,3,2.5,1000,0,100,60,0,MMUCT,UCT,100,42,0.517241,0.482759,30,0.003949,0.003912
10,3,2.5,1000,0,100,90,0,MMUCT,UCT,100,40,0.466667,0.533333,28,0.016454,0.016156
10,3,2.5,15000,0,100,120,0,MMUCT,UCT,100,60,0.35,0.65,14,0.071133,0.070561
10,3,2.5,15000,0,100,30,0,MMUCT,UCT,100,64,0.388889,0.611111,14,0.070068,0.069783
10,3,2.5,15000,0,100,60,0,MMUCT,UCT,100,62,0.447368,0.552632,17,0.070319,0.069211
10,3,2.5,15000,0,100,90,0,MMUCT,UCT,100,58,0.547619,0.452381,23,0.070221,0.069414
10,3,2.5,25000,0,100,120,0,MMUCT,UCT,100,66,0.5,0.5,17,0.123651,0.122643
10,3,2.5,25000,0,100,30,0,MMUCT,UCT,100,68,0.4375,0.5625,14,0.122396,0.121949
10,3,2.5,25000,0,100,60,0,MMUCT,UCT,100,65,0.542857,0.457143,19,0.122427,0.121913
10,3,2.5,25000,0,100,90,0,MMUCT,UCT,100,63,0.513514,0.486486,19,0.122071,0.121166
10,3,2.5,50000,0,100,120,0,MMUCT,UCT,100,67,0.606061,0.393939,20,0.264738,0.262743
