pits,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size, mm_level ,domain, max_alg, min_alg,num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games
6,1,0.5,NA,100000,0,100,NA,NA,4,0,UCT,MINMAX,100,35,0,1,0,65
6,1,0.5,NA,100000,0,100,NA,NA,5,0,UCT,MINMAX,100,43,0,1,0,57
6,1,0.5,NA,10000,0,100,NA,NA,3,0,UCT,MINMAX,100,30,0,1,0,70
6,1,0.5,NA,10000,0,100,NA,NA,4,0,UCT,MINMAX,100,28,0,0.986111,0.013889,71
6,1,0.5,NA,10000,0,100,NA,NA,5,0,UCT,MINMAX,100,44,0,0.982143,0.017857,55
6,1,0.5,NA,1000,0,100,NA,NA,3,0,UCT,MINMAX,100,36,0,0.984375,0.015625,63
6,1,0.5,NA,1000,0,100,NA,NA,4,0,UCT,MINMAX,100,45,0,0.872727,0.127273,48
6,1,0.5,NA,1000,0,100,NA,NA,5,0,UCT,MINMAX,100,56,0,0.840909,0.159091,37
6,1,0.5,NA,1000,0,100,NA,NA,6,0,UCT,MINMAX,100,58,0,0.857143,0.142857,36
6,1,0.5,NA,15000,0,100,NA,NA,3,0,UCT,MINMAX,100,30,0,1,0,70
6,1,0.5,NA,15000,0,100,NA,NA,4,0,UCT,MINMAX,100,33,0,1,0,67
6,1,0.5,NA,15000,0,100,NA,NA,5,0,UCT,MINMAX,100,47,0,0.981132,0.018868,52
6,1,0.5,NA,5000,0,100,NA,NA,3,0,UCT,MINMAX,100,31,0,1,0,69
6,1,0.5,NA,5000,0,100,NA,NA,4,0,UCT,MINMAX,100,36,0,0.953125,0.046875,61
6,1,0.5,NA,5000,0,100,NA,NA,5,0,UCT,MINMAX,100,47,0,0.943396,0.056604,50
6,1,0.5,NA,5000,0,100,NA,NA,6,0,UCT,MINMAX,100,49,0,0.980392,0.019608,50
6,1,2.5,NA,100000,0,100,NA,NA,3,0,UCT,MINMAX,100,22,0,1,0,78
6,1,2.5,NA,100000,0,100,NA,NA,4,0,UCT,MINMAX,100,32,0,0.985294,0.014706,67
6,1,2.5,NA,100000,0,100,NA,NA,5,0,UCT,MINMAX,100,34,0,1,0,66
6,1,2.5,NA,10000,0,100,NA,NA,3,0,UCT,MINMAX,100,34,0,1,0,66
6,1,2.5,NA,10000,0,100,NA,NA,4,0,UCT,MINMAX,100,39,0,1,0,61
6,1,2.5,NA,10000,0,100,NA,NA,5,0,UCT,MINMAX,100,37,0,0.984127,0.015873,62
6,1,2.5,NA,1000,0,100,NA,NA,3,0,UCT,MINMAX,100,32,0,0.985294,0.014706,67
6,1,2.5,NA,1000,0,100,NA,NA,4,0,UCT,MINMAX,100,47,0,0.962264,0.037736,51
