heuristics,c,iterations,seed,num_games,backop,threshold,domain, max_alg, num_of_games,max_time,avg_score
1,5,1000,0,1000,1,10,5,UCT,1000,0.001989,34.191292
1,5,1000,0,1000,1,1,5,UCT,1000,0.001986,34.191292
1,5,1000,0,1000,1,25,5,UCT,1000,0.001987,34.191292
1,5,1000,0,1000,1,50,5,UCT,1000,0.001986,34.191292
1,10,1000,0,1000,1,10,5,UCT,1000,0.001871,35.041154
1,10,1000,0,1000,1,1,5,UCT,1000,0.001888,35.041154
1,10,1000,0,1000,1,25,5,UCT,1000,0.001868,35.041154
1,10,1000,0,1000,1,50,5,UCT,1000,0.001987,35.041154
1,15,1000,0,1000,1,10,5,UCT,1000,0.001857,35.502707
1,15,1000,0,1000,1,1,5,UCT,1000,0.001822,35.502707
1,15,1000,0,1000,1,25,5,UCT,1000,0.00183,35.502707
1,15,1000,0,1000,1,50,5,UCT,1000,0.001822,35.502707
1,5,5000,0,1000,1,10,5,UCT,1000,0.012356,32.573821
1,5,5000,0,1000,1,1,5,UCT,1000,0.012327,32.573821
1,5,5000,0,1000,1,25,5,UCT,1000,0.012352,32.573821
1,5,5000,0,1000,1,50,5,UCT,1000,0.012339,32.573821
1,10,5000,0,1000,1,10,5,UCT,1000,0.011469,33.16922
1,10,5000,0,1000,1,1,5,UCT,1000,0.011471,33.16922
1,10,5000,0,1000,1,25,5,UCT,1000,0.024924,33.16922
1,10,5000,0,1000,1,50,5,UCT,1000,0.01156,33.16922
1,15,5000,0,1000,1,10,5,UCT,1000,0.011082,33.566373
1,15,5000,0,1000,1,1,5,UCT,1000,0.011164,33.566373
1,15,5000,0,1000,1,25,5,UCT,1000,0.011783,33.566373
1,15,5000,0,1000,1,50,5,UCT,1000,0.011089,33.566373
1,5,10000,0,1000,1,10,5,UCT,1000,0.027485,32.43107
1,5,10000,0,1000,1,1,5,UCT,1000,0.026825,32.43107
1,5,10000,0,1000,1,25,5,UCT,1000,0.026974,32.43107
1,5,10000,0,1000,1,50,5,UCT,1000,0.026803,32.43107
1,10,10000,0,1000,1,10,5,UCT,1000,0.025045,32.597314
1,10,10000,0,1000,1,1,5,UCT,1000,0.024964,32.597314
1,10,10000,0,1000,1,25,5,UCT,1000,0.025128,32.597314
1,10,10000,0,1000,1,50,5,UCT,1000,0.024875,32.597314
1,15,10000,0,1000,1,10,5,UCT,1000,0.02399,33.558326
1,15,10000,0,1000,1,1,5,UCT,1000,0.023985,33.558326
1,15,10000,0,1000,1,25,5,UCT,1000,0.023974,33.558326
1,15,10000,0,1000,1,50,5,UCT,1000,0.02397,33.558326
1,5,15000,0,1000,1,10,5,UCT,1000,0.042208,32.249994
1,5,15000,0,1000,1,1,5,UCT,1000,0.042123,32.249994
1,5,15000,0,1000,1,25,5,UCT,1000,0.042121,32.249994
1,5,15000,0,1000,1,50,5,UCT,1000,0.04217,32.249994
1,10,15000,0,1000,1,10,5,UCT,1000,0.039183,32.284041
1,10,15000,0,1000,1,1,5,UCT,1000,0.039035,32.284041
1,10,15000,0,1000,1,25,5,UCT,1000,0.038993,32.284041
1,10,15000,0,1000,1,50,5,UCT,1000,0.03972,32.284041
1,15,15000,0,1000,1,10,5,UCT,1000,0.037812,32.706086
1,15,15000,0,1000,1,1,5,UCT,1000,0.037676,32.706086
1,15,15000,0,1000,1,25,5,UCT,1000,0.037737,32.706086
1,15,15000,0,1000,1,50,5,UCT,1000,0.039094,32.706086
1,10,25000,0,1000,1,10,5,UCT,1000,0.071277,32.149043
1,10,25000,0,1000,1,1,5,UCT,1000,0.06995,32.149043
1,10,25000,0,1000,1,25,5,UCT,1000,0.069256,32.149043
1,10,25000,0,1000,1,50,5,UCT,1000,0.06934,32.149043
1,5,25000,0,1000,1,10,5,UCT,1000,0.07599,32.161031
1,5,25000,0,1000,1,1,5,UCT,1000,0.074486,32.161031
1,5,25000,0,1000,1,25,5,UCT,1000,0.074549,32.161031
1,5,25000,0,1000,1,50,5,UCT,1000,0.074487,32.161031
1,15,25000,0,1000,1,10,5,UCT,1000,0.068347,32.334484
1,15,25000,0,1000,1,1,5,UCT,1000,0.070845,32.334484
1,15,25000,0,1000,1,25,5,UCT,1000,0.066715,32.334484
1,15,25000,0,1000,1,50,5,UCT,1000,0.066664,32.334484
1,10,50000,0,1000,1,10,5,UCT,1000,0.151776,32.080327
1,10,50000,0,1000,1,1,5,UCT,1000,0.329279,32.080327
1,10,50000,0,1000,1,25,5,UCT,1000,0.151817,32.080327
1,10,50000,0,1000,1,50,5,UCT,1000,0.151721,32.080327
1,15,50000,0,1000,1,10,5,UCT,1000,0.146611,32.110398
1,15,50000,0,1000,1,1,5,UCT,1000,0.150961,32.110398
1,15,50000,0,1000,1,25,5,UCT,1000,0.146539,32.110398
1,15,50000,0,1000,1,50,5,UCT,1000,0.146512,32.110398
1,5,50000,0,1000,1,10,5,UCT,1000,0.161736,32.146516
1,5,50000,0,1000,1,1,5,UCT,1000,0.254576,32.146516
1,5,50000,0,1000,1,25,5,UCT,1000,0.161355,32.146516
1,5,50000,0,1000,1,50,5,UCT,1000,0.161719,32.146516
1,15,75000,0,1000,1,10,5,UCT,1000,0.230845,32.108268
1,15,75000,0,1000,1,1,5,UCT,1000,0.230622,32.108268
1,15,75000,0,1000,1,25,5,UCT,1000,0.230324,32.108268
1,15,75000,0,1000,1,50,5,UCT,1000,0.230458,32.108268
1,10,75000,0,1000,1,10,5,UCT,1000,0.240899,32.121884
1,10,75000,0,1000,1,1,5,UCT,1000,0.238495,32.121884
1,10,75000,0,1000,1,25,5,UCT,1000,0.239649,32.121884
1,10,75000,0,1000,1,50,5,UCT,1000,0.238029,32.121884
1,5,75000,0,1000,1,10,5,UCT,1000,0.251497,32.194913
1,5,75000,0,1000,1,1,5,UCT,1000,0.254635,32.194913
1,5,75000,0,1000,1,25,5,UCT,1000,0.252016,32.194913
1,5,75000,0,1000,1,50,5,UCT,1000,0.251672,32.194913
