pits,heuristics,c,iterations,seed,num_games,policy,type_system,sts_size,domain, max_alg, num_of_games,max_time,avg_score
10,1,10,100000,0,1000,1,2,1000,5,BFB,1000,0.271128,33.526594
10,1,10,100000,0,1000,1,2,100,5,BFB,1000,0.463047,35.477496
10,1,10,100000,0,1000,1,2,5000,5,BFB,1000,0.302586,32.555777
10,1,10,100000,0,1000,1,2,500,5,BFB,1000,0.845479,34.619548
10,1,10,100000,0,1000,1,2,700,5,BFB,1000,0.258021,34.052598
10,1,10,100000,0,1000,2,2,1000,5,BFB,1000,0.268367,33.526594
10,1,10,100000,0,1000,2,2,100,5,BFB,1000,0.481018,35.477496
10,1,10,100000,0,1000,2,2,5000,5,BFB,1000,0.299295,32.555777
10,1,10,100000,0,1000,2,2,500,5,BFB,1000,1.996512,34.619548
10,1,10,100000,0,1000,2,2,700,5,BFB,1000,0.260509,34.052598
10,1,10,100000,0,1000,3,2,1000,5,BFB,1000,0.274502,33.526594
10,1,10,100000,0,1000,3,2,100,5,BFB,1000,0.477808,35.477496
10,1,10,100000,0,1000,3,2,5000,5,BFB,1000,0.303202,32.555777
10,1,10,100000,0,1000,3,2,500,5,BFB,1000,0.264339,34.619548
10,1,10,100000,0,1000,3,2,700,5,BFB,1000,0.259577,34.052598
10,1,10,10000,0,1000,1,2,1000,5,BFB,1000,0.025747,33.599844
10,1,10,10000,0,1000,1,2,100,5,BFB,1000,0.020834,35.5253
10,1,10,10000,0,1000,1,2,5000,5,BFB,1000,0.027369,32.600029
10,1,10,10000,0,1000,1,2,500,5,BFB,1000,0.023662,34.566614
10,1,10,10000,0,1000,1,2,700,5,BFB,1000,0.024538,34.152194
10,1,10,10000,0,1000,2,2,1000,5,BFB,1000,0.025836,33.599844
10,1,10,10000,0,1000,2,2,100,5,BFB,1000,0.020834,35.5253
10,1,10,10000,0,1000,2,2,5000,5,BFB,1000,0.026682,32.600029
10,1,10,10000,0,1000,2,2,500,5,BFB,1000,0.023859,34.566614
10,1,10,10000,0,1000,2,2,700,5,BFB,1000,0.02488,34.152194
10,1,10,10000,0,1000,3,2,1000,5,BFB,1000,0.025738,33.599844
10,1,10,10000,0,1000,3,2,100,5,BFB,1000,0.020768,35.5253
10,1,10,10000,0,1000,3,2,5000,5,BFB,1000,0.026831,32.600029
10,1,10,10000,0,1000,3,2,500,5,BFB,1000,0.023852,34.566614
10,1,10,10000,0,1000,3,2,700,5,BFB,1000,0.024786,34.152194
10,1,10,1000,0,1000,1,2,1000,5,BFB,1000,0.001963,34.854095
10,1,10,1000,0,1000,1,2,100,5,BFB,1000,0.001956,35.436241
10,1,10,1000,0,1000,1,2,5000,5,BFB,1000,0.001971,34.854095
10,1,10,1000,0,1000,1,2,500,5,BFB,1000,0.001965,34.995199
10,1,10,1000,0,1000,1,2,700,5,BFB,1000,0.001959,35.065576
10,1,10,1000,0,1000,2,2,1000,5,BFB,1000,0.001962,34.854095
10,1,10,1000,0,1000,2,2,100,5,BFB,1000,0.001981,35.436241
10,1,10,1000,0,1000,2,2,5000,5,BFB,1000,0.001973,34.854095
10,1,10,1000,0,1000,2,2,500,5,BFB,1000,0.002007,34.995199
10,1,10,1000,0,1000,2,2,700,5,BFB,1000,0.001964,35.065576
10,1,10,1000,0,1000,3,2,1000,5,BFB,1000,0.001962,34.854095
10,1,10,1000,0,1000,3,2,100,5,BFB,1000,0.001967,35.436241
10,1,10,1000,0,1000,3,2,5000,5,BFB,1000,0.00196,34.854095
10,1,10,1000,0,1000,3,2,500,5,BFB,1000,0.001968,34.995199
10,1,10,1000,0,1000,3,2,700,5,BFB,1000,0.00196,35.065576
10,1,10,15000,0,1000,1,2,1000,5,BFB,1000,0.037007,33.552187
10,1,10,15000,0,1000,1,2,100,5,BFB,1000,0.031123,35.390515
10,1,10,15000,0,1000,1,2,5000,5,BFB,1000,0.043012,32.48625
10,1,10,15000,0,1000,1,2,500,5,BFB,1000,0.036111,34.609068
10,1,10,15000,0,1000,1,2,700,5,BFB,1000,0.035224,34.14226
10,1,10,15000,0,1000,2,2,1000,5,BFB,1000,0.037385,33.552187
10,1,10,15000,0,1000,2,2,100,5,BFB,1000,0.032421,35.390515
10,1,10,15000,0,1000,2,2,5000,5,BFB,1000,0.04327,32.48625
10,1,10,15000,0,1000,2,2,500,5,BFB,1000,0.034138,34.609068
10,1,10,15000,0,1000,2,2,700,5,BFB,1000,0.036545,34.14226
10,1,10,15000,0,1000,3,2,1000,5,BFB,1000,0.036976,33.552187
10,1,10,15000,0,1000,3,2,100,5,BFB,1000,0.031975,35.390515
10,1,10,15000,0,1000,3,2,5000,5,BFB,1000,0.043429,32.48625
10,1,10,15000,0,1000,3,2,500,5,BFB,1000,0.034022,34.609068
10,1,10,15000,0,1000,3,2,700,5,BFB,1000,0.035188,34.14226
10,1,10,25000,0,1000,1,2,1000,5,BFB,1000,0.065614,33.696844
10,1,10,25000,0,1000,1,2,100,5,BFB,1000,0.058912,35.664893
10,1,10,25000,0,1000,1,2,5000,5,BFB,1000,0.074557,32.506196
10,1,10,25000,0,1000,1,2,500,5,BFB,1000,0.058095,34.631271
10,1,10,25000,0,1000,1,2,700,5,BFB,1000,0.062506,33.97948
10,1,10,25000,0,1000,2,2,1000,5,BFB,1000,0.066688,33.696844
10,1,10,25000,0,1000,2,2,100,5,BFB,1000,0.062354,35.664893
10,1,10,25000,0,1000,2,2,5000,5,BFB,1000,0.075067,32.506196
10,1,10,25000,0,1000,2,2,500,5,BFB,1000,0.057543,34.631271
10,1,10,25000,0,1000,2,2,700,5,BFB,1000,0.062934,33.97948
10,1,10,25000,0,1000,3,2,1000,5,BFB,1000,0.066328,33.696844
10,1,10,25000,0,1000,3,2,100,5,BFB,1000,0.060628,35.664893
10,1,10,25000,0,1000,3,2,5000,5,BFB,1000,0.07497,32.506196
10,1,10,25000,0,1000,3,2,500,5,BFB,1000,0.059977,34.631271
10,1,10,25000,0,1000,3,2,700,5,BFB,1000,0.063142,33.97948
10,1,10,50000,0,1000,1,2,1000,5,BFB,1000,0.131822,33.509501
10,1,10,50000,0,1000,1,2,100,5,BFB,1000,0.158635,35.367803
10,1,10,50000,0,1000,1,2,5000,5,BFB,1000,0.152164,32.515948
10,1,10,50000,0,1000,1,2,500,5,BFB,1000,0.122838,34.710732
10,1,10,50000,0,1000,1,2,700,5,BFB,1000,0.126825,34.04188
10,1,10,50000,0,1000,2,2,1000,5,BFB,1000,0.133512,33.509501
10,1,10,50000,0,1000,2,2,100,5,BFB,1000,0.163088,35.367803
10,1,10,50000,0,1000,2,2,5000,5,BFB,1000,0.152574,32.515948
10,1,10,50000,0,1000,2,2,500,5,BFB,1000,0.125234,34.710732
10,1,10,50000,0,1000,2,2,700,5,BFB,1000,0.391794,34.04188
