pits,heuristics,c,iterations,seed,num_games,policy,type_system,sts_size,domain, max_alg, num_of_games,max_time,avg_score
10,1,10,100000,0,1000,1,2,1000,5,BFB,1000,0.348029,41.423966
10,1,10,100000,0,1000,1,2,100,5,BFB,1000,1.166458,45.134881
10,1,10,100000,0,1000,1,2,5000,5,BFB,1000,0.316909,37.799287
10,1,10,100000,0,1000,1,2,500,5,BFB,1000,0.396231,47.019566
10,1,10,100000,0,1000,1,2,700,5,BFB,1000,0.422832,41.440266
10,1,10,100000,0,1000,2,2,1000,5,BFB,1000,0.348324,41.423966
10,1,10,100000,0,1000,2,2,100,5,BFB,1000,1.196557,45.134881
10,1,10,100000,0,1000,2,2,5000,5,BFB,1000,0.315626,37.799287
10,1,10,100000,0,1000,2,2,500,5,BFB,1000,0.396947,47.019566
10,1,10,100000,0,1000,2,2,700,5,BFB,1000,0.359578,41.440266
10,1,10,100000,0,1000,3,2,1000,5,BFB,1000,0.346956,41.423966
10,1,10,100000,0,1000,3,2,100,5,BFB,1000,1.182897,45.134881
10,1,10,100000,0,1000,3,2,5000,5,BFB,1000,0.316321,37.799287
10,1,10,100000,0,1000,3,2,500,5,BFB,1000,0.397857,47.019566
10,1,10,100000,0,1000,3,2,700,5,BFB,1000,0.361068,41.440266
10,1,10,10000,0,1000,1,2,1000,5,BFB,1000,0.028523,37.887144
10,1,10,10000,0,1000,1,2,100,5,BFB,1000,0.026785,41.723768
10,1,10,10000,0,1000,1,2,5000,5,BFB,1000,0.025387,32.542019
10,1,10,10000,0,1000,1,2,500,5,BFB,1000,0.023405,38.210257
10,1,10,10000,0,1000,1,2,700,5,BFB,1000,0.023465,39.175733
10,1,10,10000,0,1000,2,2,1000,5,BFB,1000,0.023716,37.887144
10,1,10,10000,0,1000,2,2,100,5,BFB,1000,0.026815,41.723768
10,1,10,10000,0,1000,2,2,5000,5,BFB,1000,0.025382,32.542019
10,1,10,10000,0,1000,2,2,500,5,BFB,1000,0.023333,38.210257
10,1,10,10000,0,1000,2,2,700,5,BFB,1000,0.023501,39.175733
10,1,10,10000,0,1000,3,2,1000,5,BFB,1000,0.023651,37.887144
10,1,10,10000,0,1000,3,2,100,5,BFB,1000,0.026818,41.723768
10,1,10,10000,0,1000,3,2,5000,5,BFB,1000,0.025418,32.542019
10,1,10,10000,0,1000,3,2,500,5,BFB,1000,0.02329,38.210257
10,1,10,10000,0,1000,3,2,700,5,BFB,1000,0.023449,39.175733
10,1,10,1000,0,1000,1,2,1000,5,BFB,1000,0.00194,34.959605
10,1,10,1000,0,1000,1,2,100,5,BFB,1000,0.003976,38.191141
10,1,10,1000,0,1000,1,2,5000,5,BFB,1000,0.001935,34.959605
10,1,10,1000,0,1000,1,2,500,5,BFB,1000,0.001949,35.087054
10,1,10,1000,0,1000,1,2,700,5,BFB,1000,0.001931,34.809473
10,1,10,1000,0,1000,2,2,1000,5,BFB,1000,0.001937,34.959605
10,1,10,1000,0,1000,2,2,100,5,BFB,1000,0.001859,38.191141
10,1,10,1000,0,1000,2,2,5000,5,BFB,1000,0.001939,34.959605
10,1,10,1000,0,1000,2,2,500,5,BFB,1000,0.00194,35.087054
10,1,10,1000,0,1000,2,2,700,5,BFB,1000,0.001935,34.809473
10,1,10,1000,0,1000,3,2,1000,5,BFB,1000,0.001929,34.959605
10,1,10,1000,0,1000,3,2,100,5,BFB,1000,0.001868,38.191141
10,1,10,1000,0,1000,3,2,5000,5,BFB,1000,0.001935,34.959605
10,1,10,1000,0,1000,3,2,500,5,BFB,1000,0.001945,35.087054
10,1,10,1000,0,1000,3,2,700,5,BFB,1000,0.001947,34.809473
10,1,10,15000,0,1000,1,2,1000,5,BFB,1000,0.03694,39.412482
10,1,10,15000,0,1000,1,2,100,5,BFB,1000,0.044992,43.289885
10,1,10,15000,0,1000,1,2,5000,5,BFB,1000,0.046372,32.456132
10,1,10,15000,0,1000,1,2,500,5,BFB,1000,0.036692,37.984368
10,1,10,15000,0,1000,1,2,700,5,BFB,1000,0.037019,37.562133
10,1,10,15000,0,1000,2,2,1000,5,BFB,1000,0.036939,39.412482
10,1,10,15000,0,1000,2,2,100,5,BFB,1000,0.044991,43.289885
10,1,10,15000,0,1000,2,2,5000,5,BFB,1000,0.039188,32.456132
10,1,10,15000,0,1000,2,2,500,5,BFB,1000,0.036962,37.984368
10,1,10,15000,0,1000,2,2,700,5,BFB,1000,0.036749,37.562133
10,1,10,15000,0,1000,3,2,1000,5,BFB,1000,0.03687,39.412482
10,1,10,15000,0,1000,3,2,100,5,BFB,1000,0.044953,43.289885
10,1,10,15000,0,1000,3,2,5000,5,BFB,1000,0.039154,32.456132
10,1,10,15000,0,1000,3,2,500,5,BFB,1000,0.036784,37.984368
10,1,10,15000,0,1000,3,2,700,5,BFB,1000,0.036622,37.562133
10,1,10,25000,0,1000,1,2,1000,5,BFB,1000,0.064788,34.928459
10,1,10,25000,0,1000,1,2,100,5,BFB,1000,0.093642,45.16591
10,1,10,25000,0,1000,1,2,5000,5,BFB,1000,0.06911,35.917541
10,1,10,25000,0,1000,1,2,500,5,BFB,1000,0.068328,39.642166
10,1,10,25000,0,1000,1,2,700,5,BFB,1000,0.067161,40.005714
10,1,10,25000,0,1000,2,2,1000,5,BFB,1000,0.143851,34.928459
10,1,10,25000,0,1000,2,2,100,5,BFB,1000,0.110871,45.16591
