pits,heuristics,c,iterations,seed,num_games,policy,type_system,sts_size,domain, max_alg, num_of_games,max_time,avg_score
10,1,10,100000,0,1000,1,2,1000,5,BFB,1000,0.301875,33.641305
10,1,10,100000,0,1000,1,2,100,5,BFB,1000,0.285479,35.74646
10,1,10,100000,0,1000,1,2,5000,5,BFB,1000,0.316979,32.405848
10,1,10,100000,0,1000,1,2,500,5,BFB,1000,0.297802,34.814609
10,1,10,100000,0,1000,1,2,700,5,BFB,1000,0.298843,34.374591
10,1,10,100000,0,1000,2,2,1000,5,BFB,1000,0.304701,33.684678
10,1,10,100000,0,1000,2,2,100,5,BFB,1000,0.286102,35.794963
10,1,10,100000,0,1000,2,2,5000,5,BFB,1000,0.318939,32.55609
10,1,10,100000,0,1000,2,2,500,5,BFB,1000,0.297911,34.552051
10,1,10,100000,0,1000,2,2,700,5,BFB,1000,0.299656,34.362723
10,1,10,100000,0,1000,3,2,1000,5,BFB,1000,0.300878,33.58631
10,1,10,100000,0,1000,3,2,100,5,BFB,1000,0.280347,35.900124
10,1,10,100000,0,1000,3,2,5000,5,BFB,1000,0.317633,32.594782
10,1,10,100000,0,1000,3,2,500,5,BFB,1000,0.293381,34.715901
10,1,10,100000,0,1000,3,2,700,5,BFB,1000,0.294924,34.110919
10,1,10,10000,0,1000,1,2,1000,5,BFB,1000,0.027699,33.675609
10,1,10,10000,0,1000,1,2,100,5,BFB,1000,0.027616,35.73033
10,1,10,10000,0,1000,1,2,5000,5,BFB,1000,0.025721,32.572309
10,1,10,10000,0,1000,1,2,500,5,BFB,1000,0.029664,34.631433
10,1,10,10000,0,1000,1,2,700,5,BFB,1000,0.028483,34.148461
10,1,10,10000,0,1000,2,2,1000,5,BFB,1000,0.028533,33.734295
10,1,10,10000,0,1000,2,2,100,5,BFB,1000,0.028273,35.78545
10,1,10,10000,0,1000,2,2,5000,5,BFB,1000,0.027202,32.551894
10,1,10,10000,0,1000,2,2,500,5,BFB,1000,0.028681,34.566245
10,1,10,10000,0,1000,2,2,700,5,BFB,1000,0.028499,34.2029
10,1,10,10000,0,1000,3,2,1000,5,BFB,1000,0.028779,33.486977
10,1,10,10000,0,1000,3,2,100,5,BFB,1000,0.028185,35.934982
10,1,10,10000,0,1000,3,2,500,5,BFB,1000,0.028039,34.588517
10,1,10,10000,0,1000,3,2,700,5,BFB,1000,0.033997,34.264461
10,1,10,1000,0,1000,1,2,1000,5,BFB,1000,0.00192,34.868081
10,1,10,1000,0,1000,1,2,100,5,BFB,1000,0.002116,35.951098
10,1,10,1000,0,1000,1,2,5000,5,BFB,1000,0.001896,34.868081
10,1,10,1000,0,1000,1,2,500,5,BFB,1000,0.001913,35.079801
10,1,10,1000,0,1000,1,2,700,5,BFB,1000,0.001923,34.799107
10,1,10,1000,0,1000,2,2,1000,5,BFB,1000,0.001903,34.868081
10,1,10,1000,0,1000,2,2,100,5,BFB,1000,0.004649,35.97462
10,1,10,1000,0,1000,2,2,5000,5,BFB,1000,0.001913,34.868081
10,1,10,1000,0,1000,2,2,500,5,BFB,1000,0.00191,34.911451
10,1,10,1000,0,1000,2,2,700,5,BFB,1000,0.001923,34.953848
10,1,10,1000,0,1000,3,2,1000,5,BFB,1000,0.001965,34.868081
10,1,10,1000,0,1000,3,2,100,5,BFB,1000,0.002145,35.915124
10,1,10,1000,0,1000,3,2,5000,5,BFB,1000,0.0019,34.868081
10,1,10,1000,0,1000,3,2,500,5,BFB,1000,0.00193,34.93765
10,1,10,1000,0,1000,3,2,700,5,BFB,1000,0.001912,35.063721
10,1,10,15000,0,1000,1,2,1000,5,BFB,1000,0.043203,33.715413
10,1,10,15000,0,1000,1,2,100,5,BFB,1000,0.042009,35.866958
10,1,10,15000,0,1000,1,2,5000,5,BFB,1000,0.040468,32.494759
10,1,10,15000,0,1000,1,2,500,5,BFB,1000,0.043064,34.44908
10,1,10,15000,0,1000,1,2,700,5,BFB,1000,0.043404,34.321343
10,1,10,15000,0,1000,2,2,1000,5,BFB,1000,0.044259,33.763459
10,1,10,15000,0,1000,2,2,100,5,BFB,1000,0.042841,35.789134
10,1,10,15000,0,1000,2,2,5000,5,BFB,1000,0.040838,32.664233
10,1,10,15000,0,1000,2,2,500,5,BFB,1000,0.045034,34.559195
10,1,10,15000,0,1000,2,2,700,5,BFB,1000,0.044439,33.948226
10,1,10,15000,0,1000,3,2,1000,5,BFB,1000,0.043902,33.744802
10,1,10,15000,0,1000,3,2,100,5,BFB,1000,0.041885,35.751029
10,1,10,15000,0,1000,3,2,5000,5,BFB,1000,0.040775,32.555255
10,1,10,15000,0,1000,3,2,500,5,BFB,1000,0.044852,34.589016
10,1,10,15000,0,1000,3,2,700,5,BFB,1000,0.04347,34.166603
10,1,10,25000,0,1000,1,2,1000,5,BFB,1000,0.074202,33.629329
10,1,10,25000,0,1000,1,2,100,5,BFB,1000,0.070514,36.036862
10,1,10,25000,0,1000,1,2,5000,5,BFB,1000,0.073752,32.630848
10,1,10,25000,0,1000,1,2,500,5,BFB,1000,0.072793,34.574801
10,1,10,25000,0,1000,1,2,700,5,BFB,1000,0.073446,34.107498
10,1,10,25000,0,1000,2,2,1000,5,BFB,1000,0.075409,33.731802
10,1,10,25000,0,1000,2,2,100,5,BFB,1000,0.072067,35.955213
10,1,10,25000,0,1000,2,2,5000,5,BFB,1000,0.07418,32.573794
10,1,10,25000,0,1000,2,2,500,5,BFB,1000,0.075394,34.329441
10,1,10,25000,0,1000,2,2,700,5,BFB,1000,0.078309,34.148804
10,1,10,25000,0,1000,3,2,1000,5,BFB,1000,0.074706,33.719151
10,1,10,25000,0,1000,3,2,100,5,BFB,1000,0.071315,35.714661
10,1,10,25000,0,1000,3,2,5000,5,BFB,1000,0.073507,32.551007
10,1,10,25000,0,1000,3,2,500,5,BFB,1000,0.07364,34.369631
10,1,10,25000,0,1000,3,2,700,5,BFB,1000,0.073144,34.099626
10,1,10,50000,0,1000,1,2,1000,5,BFB,1000,0.150031,33.543224
10,1,10,50000,0,1000,1,2,100,5,BFB,1000,0.145108,35.92399
10,1,10,50000,0,1000,1,2,5000,5,BFB,1000,0.155061,32.486446
