pits,heuristics,c,iterations,seed,num_games,policy,type_system,sts_size,domain, max_alg, num_of_games,max_time,avg_score
10,1,10,100000,0,1000,1,2,1000,5,BFB,1000,0.442896,40.857515
10,1,10,100000,0,1000,1,2,100,5,BFB,1000,1.110246,51.427598
10,1,10,100000,0,1000,1,2,5000,5,BFB,1000,0.34813,38.377559
10,1,10,100000,0,1000,1,2,500,5,BFB,1000,0.509746,52.053925
10,1,10,100000,0,1000,1,2,700,5,BFB,1000,0.490037,47.163198
10,1,10,100000,0,1000,2,2,1000,5,BFB,1000,0.485803,42.652271
10,1,10,100000,0,1000,2,2,5000,5,BFB,1000,0.353146,38.809566
10,1,10,100000,0,1000,2,2,500,5,BFB,1000,0.556816,46.641312
10,1,10,100000,0,1000,2,2,700,5,BFB,1000,0.510477,43.078976
10,1,10,100000,0,1000,3,2,1000,5,BFB,1000,0.480273,42.426389
10,1,10,100000,0,1000,3,2,100,5,BFB,1000,1.495231,49.828934
10,1,10,100000,0,1000,3,2,5000,5,BFB,1000,0.351208,38.499384
10,1,10,100000,0,1000,3,2,500,5,BFB,1000,0.546783,46.146834
10,1,10,100000,0,1000,3,2,700,5,BFB,1000,0.499456,42.543601
10,1,10,10000,0,1000,1,2,1000,5,BFB,1000,0.024337,38.524472
10,1,10,10000,0,1000,1,2,100,5,BFB,1000,0.033189,44.21427
10,1,10,10000,0,1000,1,2,5000,5,BFB,1000,0.025337,32.451544
10,1,10,10000,0,1000,1,2,500,5,BFB,1000,0.024882,35.565311
10,1,10,10000,0,1000,1,2,700,5,BFB,1000,0.02455,38.443901
10,1,10,10000,0,1000,2,2,1000,5,BFB,1000,0.024573,38.409548
10,1,10,10000,0,1000,2,2,100,5,BFB,1000,0.035684,42.827915
10,1,10,10000,0,1000,2,2,5000,5,BFB,1000,0.025324,32.675941
10,1,10,10000,0,1000,2,2,500,5,BFB,1000,0.025483,35.631711
10,1,10,10000,0,1000,2,2,700,5,BFB,1000,0.02513,38.811347
10,1,10,10000,0,1000,3,2,1000,5,BFB,1000,0.024431,38.453091
10,1,10,10000,0,1000,3,2,100,5,BFB,1000,0.035303,42.776265
10,1,10,10000,0,1000,3,2,5000,5,BFB,1000,0.025308,32.50564
10,1,10,10000,0,1000,3,2,500,5,BFB,1000,0.025259,35.68586
10,1,10,10000,0,1000,3,2,700,5,BFB,1000,0.02493,38.527046
10,1,10,1000,0,1000,1,2,1000,5,BFB,1000,0.001932,35.041154
10,1,10,1000,0,1000,1,2,100,5,BFB,1000,0.001928,38.451752
10,1,10,1000,0,1000,1,2,5000,5,BFB,1000,0.001918,35.041154
10,1,10,1000,0,1000,1,2,500,5,BFB,1000,0.001924,34.753924
10,1,10,1000,0,1000,1,2,700,5,BFB,1000,0.001918,34.833031
10,1,10,1000,0,1000,2,2,1000,5,BFB,1000,0.001923,35.041154
10,1,10,1000,0,1000,2,2,100,5,BFB,1000,0.001948,38.220678
10,1,10,1000,0,1000,2,2,5000,5,BFB,1000,0.001922,35.041154
10,1,10,1000,0,1000,2,2,500,5,BFB,1000,0.00193,34.755181
10,1,10,1000,0,1000,2,2,700,5,BFB,1000,0.001934,34.643438
10,1,10,1000,0,1000,3,2,1000,5,BFB,1000,0.001923,35.041154
10,1,10,1000,0,1000,3,2,100,5,BFB,1000,0.001943,38.08847
10,1,10,1000,0,1000,3,2,5000,5,BFB,1000,0.001925,35.041154
10,1,10,1000,0,1000,3,2,500,5,BFB,1000,0.001932,34.735466
10,1,10,1000,0,1000,3,2,700,5,BFB,1000,0.001933,34.816201
10,1,10,15000,0,1000,1,2,1000,5,BFB,1000,0.038699,37.995027
10,1,10,15000,0,1000,1,2,100,5,BFB,1000,0.057297,49.70204
10,1,10,15000,0,1000,1,2,5000,5,BFB,1000,0.038918,32.75401
10,1,10,15000,0,1000,1,2,500,5,BFB,1000,0.040699,36.368778
10,1,10,15000,0,1000,1,2,700,5,BFB,1000,0.039257,35.426648
10,1,10,15000,0,1000,2,2,1000,5,BFB,1000,0.039344,38.088034
10,1,10,15000,0,1000,2,2,100,5,BFB,1000,0.060812,47.365884
10,1,10,15000,0,1000,2,2,5000,5,BFB,1000,0.039109,32.579483
10,1,10,15000,0,1000,2,2,500,5,BFB,1000,0.042264,36.717179
10,1,10,15000,0,1000,2,2,700,5,BFB,1000,0.040318,35.495511
10,1,10,15000,0,1000,3,2,1000,5,BFB,1000,0.03917,37.825382
10,1,10,15000,0,1000,3,2,100,5,BFB,1000,0.133323,46.650113
10,1,10,15000,0,1000,3,2,5000,5,BFB,1000,0.039128,32.850608
10,1,10,15000,0,1000,3,2,500,5,BFB,1000,0.041871,36.996349
10,1,10,15000,0,1000,3,2,700,5,BFB,1000,0.040079,35.497391
10,1,10,25000,0,1000,1,2,1000,5,BFB,1000,0.070254,34.130945
10,1,10,25000,0,1000,1,2,100,5,BFB,1000,0.113648,56.544082
10,1,10,25000,0,1000,1,2,5000,5,BFB,1000,0.067847,33.809669
10,1,10,25000,0,1000,1,2,500,5,BFB,1000,0.081877,40.571344
10,1,10,25000,0,1000,1,2,700,5,BFB,1000,0.076785,40.197043
10,1,10,25000,0,1000,2,2,1000,5,BFB,1000,0.159744,34.099311
10,1,10,25000,0,1000,2,2,100,5,BFB,1000,0.123572,47.704188
10,1,10,25000,0,1000,2,2,5000,5,BFB,1000,0.06839,33.998524
10,1,10,25000,0,1000,2,2,500,5,BFB,1000,0.086124,40.85766
10,1,10,25000,0,1000,2,2,700,5,BFB,1000,0.080098,40.453624
10,1,10,25000,0,1000,3,2,1000,5,BFB,1000,0.071361,34.086691
