pits,heuristics,c,iterations,seed,num_games,policy,type_system,sts_size,domain, max_alg, num_of_games,max_time,avg_score
10,1,10,100000,0,1000,1,2,1000,5,BFB,1000,0.256232,33.723908
10,1,10,100000,0,1000,1,2,100,5,BFB,1000,0.456911,35.40919
10,1,10,100000,0,1000,1,2,5000,5,BFB,1000,0.288399,32.455179
10,1,10,100000,0,1000,1,2,500,5,BFB,1000,0.253432,34.655254
10,1,10,100000,0,1000,1,2,700,5,BFB,1000,0.250687,34.127182
10,1,10,100000,0,1000,2,2,1000,5,BFB,1000,0.259268,33.723908
10,1,10,100000,0,1000,2,2,100,5,BFB,1000,0.465808,35.40919
10,1,10,100000,0,1000,2,2,5000,5,BFB,1000,0.289558,32.455179
10,1,10,100000,0,1000,2,2,500,5,BFB,1000,0.25643,34.655254
10,1,10,100000,0,1000,2,2,700,5,BFB,1000,0.252788,34.127182
10,1,10,100000,0,1000,3,2,1000,5,BFB,1000,0.257747,33.723908
10,1,10,100000,0,1000,3,2,100,5,BFB,1000,0.45832,35.40919
10,1,10,100000,0,1000,3,2,5000,5,BFB,1000,0.289068,32.455179
10,1,10,100000,0,1000,3,2,500,5,BFB,1000,0.254924,34.655254
10,1,10,100000,0,1000,3,2,700,5,BFB,1000,0.251742,34.127182
10,1,10,10000,0,1000,1,2,1000,5,BFB,1000,0.024318,33.689322
10,1,10,10000,0,1000,1,2,100,5,BFB,1000,0.019679,35.333184
10,1,10,10000,0,1000,1,2,5000,5,BFB,1000,0.025558,32.648007
10,1,10,10000,0,1000,1,2,500,5,BFB,1000,0.022566,34.675377
10,1,10,10000,0,1000,1,2,700,5,BFB,1000,0.023426,34.114255
10,1,10,10000,0,1000,2,2,1000,5,BFB,1000,0.024587,33.689322
10,1,10,10000,0,1000,2,2,100,5,BFB,1000,0.019892,35.333184
10,1,10,10000,0,1000,2,2,5000,5,BFB,1000,0.02525,32.648007
10,1,10,10000,0,1000,2,2,500,5,BFB,1000,0.02269,34.675377
10,1,10,10000,0,1000,2,2,700,5,BFB,1000,0.02352,34.114255
10,1,10,10000,0,1000,3,2,1000,5,BFB,1000,0.024345,33.689322
10,1,10,10000,0,1000,3,2,100,5,BFB,1000,0.019812,35.333184
10,1,10,10000,0,1000,3,2,5000,5,BFB,1000,0.025202,32.648007
10,1,10,10000,0,1000,3,2,500,5,BFB,1000,0.022657,34.675377
10,1,10,10000,0,1000,3,2,700,5,BFB,1000,0.023491,34.114255
10,1,10,1000,0,1000,1,2,1000,5,BFB,1000,0.00189,34.960059
10,1,10,1000,0,1000,1,2,100,5,BFB,1000,0.001897,35.414327
10,1,10,1000,0,1000,1,2,5000,5,BFB,1000,0.001903,34.960059
10,1,10,1000,0,1000,1,2,500,5,BFB,1000,0.001899,34.883726
10,1,10,1000,0,1000,1,2,700,5,BFB,1000,0.001899,34.744142
10,1,10,1000,0,1000,2,2,1000,5,BFB,1000,0.001902,34.960059
10,1,10,1000,0,1000,2,2,100,5,BFB,1000,0.004062,35.414327
10,1,10,1000,0,1000,2,2,5000,5,BFB,1000,0.001897,34.960059
10,1,10,1000,0,1000,2,2,500,5,BFB,1000,0.001917,34.883726
10,1,10,1000,0,1000,2,2,700,5,BFB,1000,0.001907,34.744142
10,1,10,1000,0,1000,3,2,1000,5,BFB,1000,0.001893,34.960059
10,1,10,1000,0,1000,3,2,100,5,BFB,1000,0.001899,35.414327
10,1,10,1000,0,1000,3,2,5000,5,BFB,1000,0.001893,34.960059
10,1,10,1000,0,1000,3,2,500,5,BFB,1000,0.001903,34.883726
10,1,10,1000,0,1000,3,2,700,5,BFB,1000,0.001903,34.744142
10,1,10,15000,0,1000,1,2,1000,5,BFB,1000,0.036984,33.60969
10,1,10,15000,0,1000,1,2,100,5,BFB,1000,0.030918,35.219834
10,1,10,15000,0,1000,1,2,5000,5,BFB,1000,0.039721,32.51599
10,1,10,15000,0,1000,1,2,500,5,BFB,1000,0.033813,34.57408
10,1,10,15000,0,1000,1,2,700,5,BFB,1000,0.035079,34.074971
10,1,10,15000,0,1000,2,2,1000,5,BFB,1000,0.036977,33.60969
10,1,10,15000,0,1000,2,2,100,5,BFB,1000,0.03132,35.219834
10,1,10,15000,0,1000,2,2,5000,5,BFB,1000,0.039825,32.51599
10,1,10,15000,0,1000,2,2,500,5,BFB,1000,0.033948,34.57408
10,1,10,15000,0,1000,2,2,700,5,BFB,1000,0.035164,34.074971
10,1,10,15000,0,1000,3,2,1000,5,BFB,1000,0.036955,33.60969
10,1,10,15000,0,1000,3,2,100,5,BFB,1000,0.031242,35.219834
10,1,10,15000,0,1000,3,2,5000,5,BFB,1000,0.040251,32.51599
10,1,10,15000,0,1000,3,2,500,5,BFB,1000,0.033891,34.57408
10,1,10,15000,0,1000,3,2,700,5,BFB,1000,0.035122,34.074971
10,1,10,25000,0,1000,1,2,1000,5,BFB,1000,0.061608,33.739258
10,1,10,25000,0,1000,1,2,100,5,BFB,1000,0.057807,35.545798
10,1,10,25000,0,1000,1,2,5000,5,BFB,1000,0.069588,32.53199
10,1,10,25000,0,1000,1,2,500,5,BFB,1000,0.056312,34.52172
10,1,10,25000,0,1000,1,2,700,5,BFB,1000,0.058306,34.201432
10,1,10,25000,0,1000,2,2,1000,5,BFB,1000,0.061923,33.739258
10,1,10,25000,0,1000,2,2,100,5,BFB,1000,0.05864,35.545798
10,1,10,25000,0,1000,2,2,5000,5,BFB,1000,0.069501,32.53199
10,1,10,25000,0,1000,2,2,500,5,BFB,1000,0.056572,34.52172
10,1,10,25000,0,1000,2,2,700,5,BFB,1000,0.058845,34.201432
10,1,10,25000,0,1000,3,2,1000,5,BFB,1000,0.061765,33.739258
10,1,10,25000,0,1000,3,2,100,5,BFB,1000,0.058416,35.545798
10,1,10,25000,0,1000,3,2,5000,5,BFB,1000,0.069618,32.53199
10,1,10,25000,0,1000,3,2,500,5,BFB,1000,0.056555,34.52172
10,1,10,25000,0,1000,3,2,700,5,BFB,1000,0.058501,34.201432
10,1,10,50000,0,1000,1,2,1000,5,BFB,1000,0.124586,33.519879
10,1,10,50000,0,1000,1,2,100,5,BFB,1000,0.14907,35.269283
10,1,10,50000,0,1000,1,2,5000,5,BFB,1000,0.143729,32.478978
10,1,10,50000,0,1000,1,2,500,5,BFB,1000,0.115465,34.781428
10,1,10,50000,0,1000,1,2,700,5,BFB,1000,0.118733,34.014858
10,1,10,50000,0,1000,2,2,1000,5,BFB,1000,0.12548,33.519879
10,1,10,50000,0,1000,2,2,100,5,BFB,1000,0.152338,35.269283
10,1,10,50000,0,1000,2,2,5000,5,BFB,1000,0.143742,32.478978
10,1,10,50000,0,1000,2,2,500,5,BFB,1000,0.116368,34.781428
10,1,10,50000,0,1000,2,2,700,5,BFB,1000,0.119411,34.014858
10,1,10,50000,0,1000,3,2,1000,5,BFB,1000,0.125171,33.519879
10,1,10,50000,0,1000,3,2,100,5,BFB,1000,0.151194,35.269283
10,1,10,50000,0,1000,3,2,5000,5,BFB,1000,0.144348,32.478978
10,1,10,50000,0,1000,3,2,500,5,BFB,1000,0.116056,34.781428
10,1,10,50000,0,1000,3,2,700,5,BFB,1000,0.119102,34.014858
10,1,10,5000,0,1000,1,2,1000,5,BFB,1000,0.011656,33.713263
10,1,10,5000,0,1000,1,2,100,5,BFB,1000,0.009559,35.505351
10,1,10,5000,0,1000,1,2,5000,5,BFB,1000,0.01151,33.064943
10,1,10,5000,0,1000,1,2,500,5,BFB,1000,0.011249,34.393156
10,1,10,5000,0,1000,1,2,700,5,BFB,1000,0.011428,34.236456
10,1,10,5000,0,1000,2,2,1000,5,BFB,1000,0.01167,33.713263
10,1,10,5000,0,1000,2,2,100,5,BFB,1000,0.009632,35.505351
10,1,10,5000,0,1000,2,2,5000,5,BFB,1000,0.011557,33.064943
10,1,10,5000,0,1000,2,2,500,5,BFB,1000,0.011241,34.393156
10,1,10,5000,0,1000,2,2,700,5,BFB,1000,0.011465,34.236456
10,1,10,5000,0,1000,3,2,1000,5,BFB,1000,0.011811,33.713263
10,1,10,5000,0,1000,3,2,100,5,BFB,1000,0.009627,35.505351
10,1,10,5000,0,1000,3,2,5000,5,BFB,1000,0.011626,33.064943
10,1,10,5000,0,1000,3,2,500,5,BFB,1000,0.024892,34.393156
10,1,10,5000,0,1000,3,2,700,5,BFB,1000,0.011502,34.236456
10,1,10,75000,0,1000,1,2,1000,5,BFB,1000,0.18942,33.638837
10,1,10,75000,0,1000,1,2,100,5,BFB,1000,0.276603,35.276075
10,1,10,75000,0,1000,1,2,5000,5,BFB,1000,0.217094,32.59561
10,1,10,75000,0,1000,1,2,500,5,BFB,1000,0.180522,34.527222
10,1,10,75000,0,1000,1,2,700,5,BFB,1000,0.1817,33.979689
10,1,10,75000,0,1000,2,2,1000,5,BFB,1000,0.19087,33.638837
