pits,heuristics,c,iterations,seed,num_games,policy,type_system,sts_size,domain, max_alg, num_of_games,max_time,avg_score
10,1,10,100000,0,1000,1,2,1000,5,BFB,1000,0.332971,36.349007
10,1,10,100000,0,1000,1,2,100,5,BFB,1000,0.802721,43.115001
10,1,10,100000,0,1000,1,2,5000,5,BFB,1000,0.318025,38.354895
10,1,10,100000,0,1000,1,2,500,5,BFB,1000,0.368958,36.308424
10,1,10,100000,0,1000,1,2,700,5,BFB,1000,0.343329,36.102212
10,1,10,100000,0,1000,2,2,1000,5,BFB,1000,0.334323,36.349007
10,1,10,100000,0,1000,2,2,100,5,BFB,1000,0.816869,43.115001
10,1,10,100000,0,1000,2,2,5000,5,BFB,1000,0.318275,38.354895
10,1,10,100000,0,1000,2,2,500,5,BFB,1000,0.372063,36.308424
10,1,10,100000,0,1000,2,2,700,5,BFB,1000,0.344476,36.102212
10,1,10,100000,0,1000,3,2,1000,5,BFB,1000,0.333832,36.349007
10,1,10,100000,0,1000,3,2,100,5,BFB,1000,0.810443,43.115001
10,1,10,100000,0,1000,3,2,5000,5,BFB,1000,0.318212,38.354895
10,1,10,100000,0,1000,3,2,500,5,BFB,1000,0.369902,36.308424
10,1,10,100000,0,1000,3,2,700,5,BFB,1000,0.343211,36.102212
10,1,10,10000,0,1000,1,2,1000,5,BFB,1000,0.023324,34.048404
10,1,10,10000,0,1000,1,2,100,5,BFB,1000,0.024488,37.607455
10,1,10,10000,0,1000,1,2,5000,5,BFB,1000,0.024898,32.611355
10,1,10,10000,0,1000,1,2,500,5,BFB,1000,0.023524,37.593293
10,1,10,10000,0,1000,1,2,700,5,BFB,1000,0.022854,35.529409
10,1,10,10000,0,1000,2,2,1000,5,BFB,1000,0.023398,34.048404
10,1,10,10000,0,1000,2,2,100,5,BFB,1000,0.024677,37.607455
10,1,10,10000,0,1000,2,2,5000,5,BFB,1000,0.02491,32.611355
10,1,10,10000,0,1000,2,2,500,5,BFB,1000,0.022648,37.593293
10,1,10,10000,0,1000,2,2,700,5,BFB,1000,0.02296,35.529409
10,1,10,10000,0,1000,3,2,1000,5,BFB,1000,0.023385,34.048404
10,1,10,10000,0,1000,3,2,100,5,BFB,1000,0.02459,37.607455
10,1,10,10000,0,1000,3,2,5000,5,BFB,1000,0.024913,32.611355
10,1,10,10000,0,1000,3,2,500,5,BFB,1000,0.022618,37.593293
10,1,10,10000,0,1000,3,2,700,5,BFB,1000,0.022799,35.529409
10,1,10,1000,0,1000,1,2,1000,5,BFB,1000,0.001893,34.981527
10,1,10,1000,0,1000,1,2,100,5,BFB,1000,0.001833,35.376813
10,1,10,1000,0,1000,1,2,5000,5,BFB,1000,0.001895,34.981527
10,1,10,1000,0,1000,1,2,500,5,BFB,1000,0.001898,34.845002
10,1,10,1000,0,1000,1,2,700,5,BFB,1000,0.001901,34.978314
10,1,10,1000,0,1000,2,2,1000,5,BFB,1000,0.001895,34.981527
10,1,10,1000,0,1000,2,2,100,5,BFB,1000,0.001834,35.376813
10,1,10,1000,0,1000,2,2,5000,5,BFB,1000,0.001896,34.981527
10,1,10,1000,0,1000,2,2,500,5,BFB,1000,0.001898,34.845002
10,1,10,1000,0,1000,2,2,700,5,BFB,1000,0.001901,34.978314
10,1,10,1000,0,1000,3,2,1000,5,BFB,1000,0.001896,34.981527
10,1,10,1000,0,1000,3,2,100,5,BFB,1000,0.001833,35.376813
10,1,10,1000,0,1000,3,2,5000,5,BFB,1000,0.001906,34.981527
10,1,10,1000,0,1000,3,2,500,5,BFB,1000,0.0019,34.845002
10,1,10,1000,0,1000,3,2,700,5,BFB,1000,0.001897,34.978314
10,1,10,15000,0,1000,1,2,1000,5,BFB,1000,0.036032,36.135254
10,1,10,15000,0,1000,1,2,100,5,BFB,1000,0.04097,37.539296
10,1,10,15000,0,1000,1,2,5000,5,BFB,1000,0.039007,32.488826
10,1,10,15000,0,1000,1,2,500,5,BFB,1000,0.035904,39.193725
10,1,10,15000,0,1000,1,2,700,5,BFB,1000,0.035656,38.215331
10,1,10,15000,0,1000,2,2,1000,5,BFB,1000,0.036107,36.135254
10,1,10,15000,0,1000,2,2,100,5,BFB,1000,0.04099,37.539296
10,1,10,15000,0,1000,2,2,5000,5,BFB,1000,0.039061,32.488826
10,1,10,15000,0,1000,2,2,500,5,BFB,1000,0.035933,39.193725
10,1,10,15000,0,1000,2,2,700,5,BFB,1000,0.035742,38.215331
10,1,10,15000,0,1000,3,2,1000,5,BFB,1000,0.036118,36.135254
10,1,10,15000,0,1000,3,2,100,5,BFB,1000,0.040924,37.539296
10,1,10,15000,0,1000,3,2,5000,5,BFB,1000,0.039014,32.488826
10,1,10,15000,0,1000,3,2,500,5,BFB,1000,0.035871,39.193725
10,1,10,15000,0,1000,3,2,700,5,BFB,1000,0.035653,38.215331
10,1,10,25000,0,1000,1,2,1000,5,BFB,1000,0.064465,38.98357
10,1,10,25000,0,1000,1,2,100,5,BFB,1000,0.085622,39.167036
10,1,10,25000,0,1000,1,2,5000,5,BFB,1000,0.067898,32.265261
10,1,10,25000,0,1000,1,2,500,5,BFB,1000,0.066265,39.701001
10,1,10,25000,0,1000,1,2,700,5,BFB,1000,0.065105,39.420955
10,1,10,25000,0,1000,2,2,1000,5,BFB,1000,0.064767,38.98357
10,1,10,25000,0,1000,2,2,100,5,BFB,1000,0.086048,39.167036
10,1,10,25000,0,1000,2,2,5000,5,BFB,1000,0.068146,32.265261
10,1,10,25000,0,1000,2,2,500,5,BFB,1000,0.066415,39.701001
10,1,10,25000,0,1000,2,2,700,5,BFB,1000,0.064999,39.420955
10,1,10,25000,0,1000,3,2,1000,5,BFB,1000,0.064827,38.98357
10,1,10,25000,0,1000,3,2,100,5,BFB,1000,0.085576,39.167036
10,1,10,25000,0,1000,3,2,5000,5,BFB,1000,0.067901,32.265261
10,1,10,25000,0,1000,3,2,500,5,BFB,1000,0.066441,39.701001
10,1,10,25000,0,1000,3,2,700,5,BFB,1000,0.065091,39.420955
10,1,10,50000,0,1000,1,2,1000,5,BFB,1000,0.148424,39.260099
10,1,10,50000,0,1000,1,2,100,5,BFB,1000,0.259922,42.355376
10,1,10,50000,0,1000,1,2,5000,5,BFB,1000,0.310504,32.747412
10,1,10,50000,0,1000,1,2,500,5,BFB,1000,0.152765,36.034156
