iterations,a1,a2,seg,domain,max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time,score,unknown
100000,1,2,10,0,UCT,UCT,1000,473,0,0.493359,0.506641,260,267,0.759603,0.662595,-0.000000
100000,1,2,20,0,UCT,UCT,1000,481,0,0.543353,0.456647,282,237,0.754167,0.615112,-0.000000
100000,6,1,10,0,UCT,UCT,1000,515,0,0.628866,0.371134,305,180,0.890168,0.742447,-0.000000
100000,6,1,1,0,UCT,UCT,1000,510,0,0.579592,0.420408,284,206,0.878575,0.733713,-0.000000
100000,6,1,20,0,UCT,UCT,1000,457,0,0.519337,0.480663,282,261,0.867204,0.733908,-0.000000
100000,6,2,10,0,UCT,UCT,1000,447,0,0.555154,0.444846,307,246,0.913509,0.663139,-0.000000
100000,6,2,1,0,UCT,UCT,1000,545,0,0.338462,0.661538,154,301,0.894596,0.798135,-0.000000
100000,6,2,20,0,UCT,UCT,1000,449,0,0.533575,0.466425,294,257,0.894875,0.618121,-0.000000
100000,9,1,10,0,UCT,UCT,1000,489,0,0.624266,0.375734,319,192,0.804881,0.750689,-0.000000
100000,9,1,1,0,UCT,UCT,1000,521,0,0.590814,0.409186,283,196,0.853878,0.734558,-0.000000
100000,9,1,20,0,UCT,UCT,1000,466,0,0.610487,0.389513,326,208,0.702872,0.737820,-0.000000
100000,9,2,10,0,UCT,UCT,1000,473,0,0.595825,0.404175,314,213,0.813073,0.659441,-0.000000
100000,9,2,1,0,UCT,UCT,1000,515,0,0.367010,0.632990,178,307,0.868203,0.790461,-0.000000
10000,1,2,10,0,UCT,UCT,1000,488,0,0.541016,0.458984,277,235,0.093070,0.082602,-0.000000
10000,1,2,16,0,UCT,UCT,1000,462,0,0.583643,0.416357,314,224,0.062424,0.053058,-0.000000
10000,1,2,1,0,UCT,UCT,1000,503,0,0.229376,0.770624,114,383,0.089980,0.102519,-0.000000
10000,1,2,20,0,UCT,UCT,1000,450,0,0.596364,0.403636,328,222,0.060874,0.051674,-0.000000
10000,1,2,24,0,UCT,UCT,1000,454,0,0.657509,0.342491,359,187,0.050041,0.044866,-0.000000
10000,1,2,4,0,UCT,UCT,1000,500,0,0.356000,0.644000,178,322,0.060093,0.063144,-0.000000
10000,1,2,8,0,UCT,UCT,1000,486,0,0.513619,0.486381,264,250,0.061069,0.057262,-0.000000
10000,6,1,10,0,UCT,UCT,1000,492,0,0.598425,0.401575,304,204,0.068819,0.059825,-0.000000
10000,6,1,16,0,UCT,UCT,1000,450,0,0.610909,0.389091,336,214,0.070328,0.061359,-0.000000
10000,6,1,1,0,UCT,UCT,1000,542,0,0.639738,0.360262,293,165,0.067757,0.058850,-0.000000
10000,6,1,20,0,UCT,UCT,1000,496,0,0.561508,0.438492,283,221,0.069413,0.059857,-0.000000
10000,6,1,24,0,UCT,UCT,1000,472,0,0.564394,0.435606,298,230,0.055078,0.048135,-0.000000
10000,6,1,4,0,UCT,UCT,1000,534,0,0.592275,0.407725,276,190,0.068285,0.059178,-0.000000
10000,6,1,8,0,UCT,UCT,1000,482,0,0.590734,0.409266,306,212,0.068972,0.059566,-0.000000
10000,6,2,10,0,UCT,UCT,1000,462,0,0.604089,0.395911,325,213,0.070744,0.056215,-0.000000
10000,6,2,16,0,UCT,UCT,1000,427,0,0.663176,0.336824,380,193,0.108460,0.077372,-0.000000
10000,6,2,1,0,UCT,UCT,1000,497,0,0.355865,0.644135,179,324,0.068804,0.066910,-0.000000
10000,6,2,20,0,UCT,UCT,1000,458,0,0.581181,0.418819,315,227,0.072372,0.053100,-0.000000
10000,6,2,24,0,UCT,UCT,1000,459,0,0.680222,0.319778,368,173,0.057286,0.044713,-0.000000
10000,6,2,4,0,UCT,UCT,1000,480,0,0.400000,0.600000,208,312,0.069376,0.063076,-0.000000
10000,6,2,8,0,UCT,UCT,1000,472,0,0.592803,0.407197,313,215,0.070537,0.057940,-0.000000
10000,9,1,10,0,UCT,UCT,1000,466,0,0.606742,0.393258,324,210,0.065172,0.060429,-0.000000
10000,9,1,1,0,UCT,UCT,1000,459,0,0.375231,0.624769,203,338,0.070323,0.727171,-0.000000
10000,9,1,24,0,UCT,UCT,1000,383,0,0.269044,0.730956,166,451,0.047706,0.591977,-0.000000
10000,9,1,4,0,UCT,UCT,1000,491,0,0.347741,0.652259,177,332,0.069653,0.726640,-0.000000
10000,9,1,8,0,UCT,UCT,1000,484,0,0.350775,0.649225,181,335,0.067651,0.732718,-0.000000
10000,9,2,10,0,UCT,UCT,1000,460,0,0.631481,0.368519,341,199,0.066827,0.056088,-0.000000
10000,9,2,16,0,UCT,UCT,1000,423,0,0.722704,0.277296,417,160,0.092430,0.077630,-0.000000
10000,9,2,1,0,UCT,UCT,1000,509,0,0.356415,0.643585,175,316,0.070475,0.066268,-0.000000
10000,9,2,20,0,UCT,UCT,1000,448,0,0.641304,0.358696,354,198,0.059159,0.051973,-0.000000
10000,9,2,24,0,UCT,UCT,1000,457,0,0.594843,0.405157,323,220,0.056474,0.051432,-0.000000
10000,9,2,4,0,UCT,UCT,1000,524,0,0.378151,0.621849,180,296,0.070125,0.062991,-0.000000
10000,9,2,8,0,UCT,UCT,1000,444,0,0.602518,0.397482,335,221,0.068704,0.057681,-0.000000
1000,1,2,10,0,UCT,UCT,1000,458,0,0.618081,0.381919,335,207,0.007206,0.006874,-0.000000
1000,1,2,16,0,UCT,UCT,1000,435,0,0.617699,0.382301,349,216,0.004266,0.003939,-0.000000
1000,1,2,1,0,UCT,UCT,1000,498,0,0.364542,0.635458,183,319,0.007004,0.007696,-0.000000
1000,1,2,20,0,UCT,UCT,1000,441,0,0.583184,0.416816,326,233,0.004833,0.004459,-0.000000
1000,1,2,24,0,UCT,UCT,1000,436,0,0.604610,0.395390,341,223,0.004041,0.003867,-0.000000
1000,1,2,4,0,UCT,UCT,1000,479,0,0.429942,0.570058,224,297,0.004794,0.004977,-0.000000
1000,1,2,8,0,UCT,UCT,1000,449,0,0.569873,0.430127,314,237,0.004841,0.004762,-0.000000
1000,6,1,10,0,UCT,UCT,1000,474,0,0.648289,0.351711,341,185,0.005088,0.004747,-0.000000
1000,6,1,16,0,UCT,UCT,1000,458,0,0.649446,0.350554,352,190,0.005187,0.004845,-0.000000
1000,6,1,1,0,UCT,UCT,1000,493,0,0.593688,0.406312,301,206,0.005022,0.004681,-0.000000
